Conference,paperIdx,tableIdx,rowIdx,colIdx,type,semantic_0,sc_ch_raw,sc_ch_raw_type,human_Check,obj_cell_values,tableLink,paperLink,semantic_0_clean,semantic_1
Nicotine & Tobacco Research,2,1,14,0,sbjCol,Marital status,Married/cohabiting,,,10,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,15,0,sbjCol,Marital status,"Divorced, separated, widowed",sentence,,28,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,16,0,sbjCol,Marital status,"Single, never married",,,62,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,17,0,sbjCol,Income/SES,"Annual individual income, $",,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,18,0,sbjCol,Income/SES,<$10 000,,,67,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,19,0,sbjCol,Income/SES,≥$10 000,,,33,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,20,0,sbjCol,Housing stability,Housing stability,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,21,0,sbjCol,Housing stability,Unstably housed,,,48,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,22,0,sbjCol,Housing stability,Stably housed for ≥6 months,,,52,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,23,0,sbjCol,Housing stability,"Education, years",,,12.8±2.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,24,0,sbjCol,Employment status,Employment status,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,25,0,sbjCol,Employment status,Unemployed,,,79,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,26,0,sbjCol,Employment status,Employed,,,12,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,27,0,sbjCol,Employment status,Retired/student/homemaker,,,9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,28,0,sbjCol,MacArthur scale of subjective social status,MacArthur scale of subjective social status,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,29,0,sbjCol,MacArthur scale of subjective social status,Social status in community,,,5.2±2.9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,30,0,sbjCol,MacArthur scale of subjective social status,Social status in United States,,,4.4±2.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,31,0,sbjCol,Tobacco characteristics,Tobacco characteristics,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,32,0,sbjCol,Tobacco characteristics,Usual cigarettes per day,,,19.3±12.2,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,33,0,sbjCol,Tobacco characteristics,Menthol use,,,53,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,34,0,sbjCol,Tobacco characteristics,FTCD total score,,,5.2±2.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,35,0,sbjCol,Datetime,Time to first cigarette of the day,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,36,0,sbjCol,Datetime,Within 30 min,,,80,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,37,0,sbjCol,Datetime,After 30 min,,,20,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,38,0,sbjCol,Datetime,Years of smoking,,,23.1±12.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,39,0,sbjCol,Thoughts about abstinence,Thoughts about abstinence,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,40,0,sbjCol,Thoughts about abstinence,Desire to stop,,,5.9±3.2,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,41,0,sbjCol,Thoughts about abstinence,Expected success with quitting,,,5.7±3.0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,42,0,sbjCol,Thoughts about abstinence,Difficulty staying abstinent,,,6.9±3.1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,43,0,sbjCol,Stage of change,Stage of change,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,44,0,sbjCol,Stage of change,Precontemplation,,,33,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,45,0,sbjCol,Stage of change,Contemplation,,,42,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,46,0,sbjCol,Stage of change,Preparation,,,25,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,47,0,sbjCol,Stage of change,Quit attempt in past year (≥24h),,,44,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,48,0,sbjCol,Stage of change,Cessation advice from mental health provider in the past year,,,45,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,49,0,sbjCol,Stage of change,Cessation advice from non-mental health provider in the past year,,,46,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,50,0,sbjCol,Clinical characteristics,Clinical characteristics,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,51,0,sbjCol,Clinical characteristics Reason for hospitalization,Reason for hospitalization,,,Reason for hospitalization,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,52,0,sbjCol,Clinical characteristics Reason for hospitalization,Danger to self,,,73,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,53,0,sbjCol,Clinical characteristics Reason for hospitalization,Danger to others,,,14,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,54,0,sbjCol,Clinical characteristics Reason for hospitalization,Grave disabilitya,,,13,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,55,0,sbjCol,"Length of hospital stay, days","Length of hospital stay, days",,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,56,0,sbjCol,"Length of hospital stay, days",2–7 days,,,47,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,57,0,sbjCol,"Length of hospital stay, days",8–13 days,,,30,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,58,0,sbjCol,"Length of hospital stay, days",2 weeks or longer,,,23,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,59,0,sbjCol,"Length of hospital stay, days",CESD-10 scoreb,,,16.0±8.1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,60,0,sbjCol,Diagnosis in medical record,Diagnosis in medical record,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,61,0,sbjCol,Diagnosis in medical record,Unipolar depression,,,52,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,62,0,sbjCol,Diagnosis in medical record,Bipolar disorder,,,15,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,63,0,sbjCol,Diagnosis in medical record,Psychotic disorder,,,29,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,64,0,sbjCol,Diagnosis in medical record,No diagnosis reported,,,4,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,65,0,sbjCol,Diagnosis in medical record,BASIS-24 summary scalec,,,1.9±0.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,66,0,sbjCol,Diagnosis in medical record,AUDIT total scored,,,8.7±9.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,67,0,sbjCol,Diagnosis in medical record,DAST-10 total scoree,,,4.1±3.6,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,68,0,sbjCol,SF-12f,SF-12f,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,69,0,sbjCol,SF-12f,Physical component summary,,,46.4±11.9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,70,0,sbjCol,SF-12f,Mental component summary,,,33.5±14.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,71,0,sbjCol,Previous psychiatric hospitalization,Previous psychiatric hospitalization,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,72,0,sbjCol,Previous psychiatric hospitalization,1–5,,,64,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,73,0,sbjCol,Previous psychiatric hospitalization,6 or more,,,33,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,0,0,colHd,Characteristic,Characteristic,,,"Sociodemographic characteristics; Age, years; Gender; Male; Female; Transgender; Race/ethnicity; Caucasian; Black; Hispanic; Asian American/Pacific Islander; Multiracial/native American/other; Marital status; Married/cohabiting; Divorced, separated, widowed; Single, never married; Annual individual income, $; <$10 000; ≥$10 000; Housing stability; Unstably housed; Stably housed for ≥6 months; Education, years; Employment status; Unemployed; Employed; Retired/student/homemaker; MacArthur scale of subjective social status; Social status in community; Social status in United States; Tobacco characteristics; Usual cigarettes per day; Menthol use; FTCD total score; Time to first cigarette of the day; Within 30 min; After 30 min; Years of smoking; Thoughts about abstinence; Desire to stop; Expected success with quitting; Difficulty staying abstinent; Stage of change; Precontemplation; Contemplation; Preparation; Quit attempt in past year (≥24h); Cessation advice from mental health provider in the past year; Cessation advice from non-mental health provider in the past year; Clinical characteristics; Reason for hospitalization; Danger to self; Danger to others; Grave disabilitya; Length of hospital stay, days; 2–7 days; 8–13 days; 2 weeks or longer; CESD-10 scoreb; Diagnosis in medical record; Unipolar depression; Bipolar disorder; Psychotic disorder; No diagnosis reported; BASIS-24 summary scalec; AUDIT total scored; DAST-10 total scoree; SF-12f; Physical component summary; Mental component summary; Previous psychiatric hospitalization; 1–5; 6 or more",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,0,1,colHd,mean,"Full sample (n = 100), mean ± SD or number",sentence,,"Sociodemographic characteristics; 39.5±11.3; Gender; 65; 32; 3; Race/ethnicity; 44; 27; 9; 11; 9; Marital status; 10; 28; 62; Annual individual income, $; 67; 33; Housing stability; 48; 52; 12.8±2.5; Employment status; 79; 12; 9; ; 5.2±2.9; 4.4±2.8; Tobacco characteristics; 19.3±12.2; 53; 5.2±2.3; Time to first cigarette of the day; 80; 20; 23.1±12.7; Thoughts about abstinence; 5.9±3.2; 5.7±3.0; 6.9±3.1; Stage of change; 33; 42; 25; 44; 45; 46; Clinical characteristics; Reason for hospitalization; 73; 14; 13; Length of hospital stay, days; 47; 30; 23; 16.0±8.1; Diagnosis in medical record; 52; 15; 29; 4; 1.9±0.8; 8.7±9.8; 4.1±3.6; SF-12f; 46.4±11.9; 33.5±14.7; Previous psychiatric hospitalization; 64; 33",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,154,1,1,0,sbjCol,Overall,Overall,,,72; 27.0; 131; 49.1; 19; 7.1; 45; 16.9; –,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,2,0,sbjCol,Age,Age,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,3,0,sbjCol,Age,18–24,,,31; 43.1; 42; 32.1; 10; 52.6; 20; 44.4; .158,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,4,0,sbjCol,Age,25–34,,,41; 56.9; 89; 67.9; 9; 47.4; 25; 55.6; .158,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,5,0,sbjCol,Gender,Gender,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,6,0,sbjCol,Gender,Male,,,23; 31.9; 83; 63.4; 11; 57.9; 28; 62.2; <.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,7,0,sbjCol,Gender,Female,,,49; 68.1; 48; 36.6; 8; 42.1; 17; 37.8; <.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,8,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,Race/Ethnicity,
Nicotine & Tobacco Research,154,1,9,0,sbjCol,Race/Ethnicity,"White, non-Hispanic",,,36; 50.0; 105; 80.2; 14; 73.7; 26; 57.8; <.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,154,1,10,0,sbjCol,Race/Ethnicity,"Black, non-Hispanic",,,17; 23.6; 1; 0.8; 1; 5.3; 5; 11.1; <.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,Race/Ethnicity,Black or African American; non-Hispanic 
Nicotine & Tobacco Research,154,1,11,0,sbjCol,Race/Ethnicity,"Other, non-Hispanic",,,5; 6.9; 8; 6.1; 0; 0.0; 4; 8.9; <.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,Race/Ethnicity,Others; non-Hispanic
Nicotine & Tobacco Research,154,1,12,0,sbjCol,Race/Ethnicity,Hispanic,,,14; 19.4; 17; 13.0; 4; 21.1; 10; 22.2; <.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,154,1,13,0,sbjCol,Education,Education,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,14,0,sbjCol,Education,Less than high school,,,5; 6.9; 9; 6.9; 2; 10.5; 5; 11.1; .368,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,15,0,sbjCol,Education,High school,,,20; 27.8; 32; 24.4; 8; 42.1; 7; 15.6; .368,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,16,0,sbjCol,Education,Some college or greater,,,47; 65.3; 90; 68.7; 9; 47.4; 33; 73.3; .368,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,17,0,sbjCol,Income/SES,Income to poverty ratio,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,18,0,sbjCol,Income/SES,Less than 1,,,22; 30.6; 28; 21.4; 7; 46.8; 5; 11.1; .044,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,19,0,sbjCol,Income/SES,Greater than 1,,,50; 69.4; 103; 78.6; 12; 63.2; 40; 88.9; .044,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,20,0,sbjCol,Self-described financial situation,Self-described financial situation,sentence,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,21,0,sbjCol,Self-described financial situation,Don’t meet basic expenses,,,6; 8.5; 13; 10.0; 3; 15.8; 6; 13.3; .444,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,22,0,sbjCol,Self-described financial situation,Just meet basic expenses,,,27; 38.0; 44; 33.9; 6; 31.6; 22; 48.9; .444,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,23,0,sbjCol,Self-described financial situation,Meet needs with a little left,,,27; 28.0; 47; 36.2; 6; 31.6; 15; 33.3; .444,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,24,0,sbjCol,Self-described financial situation,Live comfortably,,,11; 15.5; 26; 20.0; 4; 21.1; 2; 4.4; .444,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,25,0,sbjCol,Sexual identity,Sexual identity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,26,0,sbjCol,Sexual identity,Heterosexual,,,62; 86.1; 117; 89.3; 18; 94.7; 35; 77.8; .170,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,27,0,sbjCol,Sexual identity,LGBTQ,,,10; 13.9; 14; 10.7; 1; 5.3; 10; 22.2; .170,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,28,0,sbjCol,Sexual identity,Sensation-seeking (mean)c,,,24.47; ; 24.82; ; 25.26; ; 26.11; ; .146,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,29,0,sbjCol,"Other substance use, past 30 days","Other substance use, past 30 days",,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,30,0,sbjCol,"Other substance use, past 30 days",No,no-meaning,,18; 25.0; 34; 26.0; 3; 15.8; 7; 15.6; .432,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,31,0,sbjCol,"Other substance use, past 30 days",Yes,no-meaning,,54; 75.0; 97; 74.1; 16; 84.2; 38; 84.4; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,32,0,sbjCol,Smoking status,Self-identified smoking status,sentence,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
Nicotine & Tobacco Research,154,1,33,0,sbjCol,Smoking status,Smoker,,,45; 62.5; 61; 46.9; 8; 42.1; 23; 51.1; .419,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626249,http://dx.doi.org/10.1093/ntr/ntu247,,
