Conference,paperIdx,tableIdx,rowIdx,colIdx,type,sc_ch_semantic_0,sc_ch_raw,sc_ch_raw_type,human_Check,obj_cell_values,tableLink,paperLink,semantic_0_clean,semantic_1
Nicotine & Tobacco Research,5,1,15,0,sbjCol,Race/Ethnicity,Indian,,,3.1 (2.6–3.8); 28.8 (20.3–39.1); 23.8 (16.1–33.8); 32.1 (23.7–41.84); 0.8 (−5.6 to 7.7); .64,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,Race/Ethnicity,American Indian and Alaska Native; 
Nicotine & Tobacco Research,5,2,9,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936621,http://dx.doi.org/10.1093/ntr/ntu264,Race/Ethnicity,
Nicotine & Tobacco Research,5,2,10,0,sbjCol,Race/Ethnicity,Black African,,,1.00; 1.00; 1.00,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936621,http://dx.doi.org/10.1093/ntr/ntu264,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,5,2,12,0,sbjCol,Race/Ethnicity,Indian/Asian,,,1.29 (0.84–2.00); 1.66 (1.17–2.36)*; 2.10 (1.57–2.80)*,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936621,http://dx.doi.org/10.1093/ntr/ntu264,Race/Ethnicity,American Indian and Alaska Native; 
Nicotine & Tobacco Research,5,2,13,0,sbjCol,Race/Ethnicity,White,,,1.48 (0.95–2.29); 1.85 (1.33–2.59)*; 2.24 (1.66–3.02)*,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936621,http://dx.doi.org/10.1093/ntr/ntu264,Race/Ethnicity,White; 
Nicotine & Tobacco Research,8,1,8,0,sbjCol,Race/Ethnicity,Ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,Race/Ethnicity,
Nicotine & Tobacco Research,8,1,9,0,sbjCol,Race/Ethnicity,African American,,,2.98; 3.35; 2.51; 3.00,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,8,1,10,0,sbjCol,Race/Ethnicity,"Asian, Pacific Islander",,,3.64; 3.14; 4.02; 3.21,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,Race/Ethnicity,Asian; Native Hawaiian and Other Pacific Islander; 
Nicotine & Tobacco Research,8,1,11,0,sbjCol,Race/Ethnicity,White,,,71.34; 70.71; 70.64; 74.09,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,Race/Ethnicity,White; 
Nicotine & Tobacco Research,8,1,12,0,sbjCol,Race/Ethnicity,Hispanic,,,6.29; 7.53; 6.15; 5.14,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,8,1,13,0,sbjCol,Race/Ethnicity,Other/Multiple,,,15.74; 15.27a; 16.69a; 14.56a,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,9,1,11,0,sbjCol,Race/Ethnicity,Ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33444128,http://dx.doi.org/10.1093/ntr/ntu241,Race/Ethnicity,
Nicotine & Tobacco Research,9,1,12,0,sbjCol,Race/Ethnicity,White,,,33.5 (796); 33.6 (724); 32.9 (72); Ref; –; ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33444128,http://dx.doi.org/10.1093/ntr/ntu241,Race/Ethnicity,White; 
Nicotine & Tobacco Research,9,1,13,0,sbjCol,Race/Ethnicity,Latino,,,33.1 (786); 32.2 (695); 41.6 (91); 1.32 (.95–1.82); .10; –; –,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33444128,http://dx.doi.org/10.1093/ntr/ntu241,Race/Ethnicity,Latin American; 
Nicotine & Tobacco Research,9,1,14,0,sbjCol,Race/Ethnicity,Black,,,33.4 (794); 34.2 (738); 25.6 (56); 0.76 (.53–1.10); .15; –; –,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33444128,http://dx.doi.org/10.1093/ntr/ntu241,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,10,1,20,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442530,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,
Nicotine & Tobacco Research,10,1,21,0,sbjCol,Race/Ethnicity,White,,,"15,161 (67.5); 5,221 (79.4); 2,870 (82.8); 735 (48.8); 6,335 (54.2)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442530,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,White; 
Nicotine & Tobacco Research,10,1,22,0,sbjCol,Race/Ethnicity,Black,,,"3,265 (12.0); 597 (9.3); 225 (6.5); 250 (19.2); 2,193 (16.0)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442530,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,10,1,23,0,sbjCol,Race/Ethnicity,Hispanic,,,"3,729 (13.6); 545 (7.7); 322 (7.2); 315 (25.7); 2,547 (19.2)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442530,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,10,1,24,0,sbjCol,Race/Ethnicity,Other,,,"2,193 (6.9); 559 (3.6); 224 (3.4); 123 (6.3); 1,287 (10.6)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442530,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,10,1,33,0,sbjCol,Employment status,Not employed,,,"8,686 (38.7); 2,483 (35.4); 1,280 (43.2); 464 (30.8); 4,459 (38.5)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442530,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,not-Stated; 
Nicotine & Tobacco Research,10,2,19,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442539,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,
Nicotine & Tobacco Research,10,2,20,0,sbjCol,Race/Ethnicity,White,,,ref; ; ; ; ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442539,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,White; 
Nicotine & Tobacco Research,10,2,21,0,sbjCol,Race/Ethnicity,Black,,,0.43; 0.30–0.61; <.001; 0.16; 0.07–0.33; <.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442539,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,10,2,22,0,sbjCol,Race/Ethnicity,Hispanic,,,0.58; 0.44–0.77; .001; 0.66; 0.33–1.31; .23,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442539,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,10,2,23,0,sbjCol,Race/Ethnicity,Other,,,0.82; 0.50–1.33; .41; 0.74; 0.18–3.04; .67,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33442539,http://dx.doi.org/10.1093/ntr/ntu227,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,11,1,4,0,sbjCol,Race/Ethnicity,Race,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441638,http://dx.doi.org/10.1093/ntr/ntu210,Race/Ethnicity,
Nicotine & Tobacco Research,11,1,5,0,sbjCol,Race/Ethnicity,African American/Black,,,242 (56.3%); 188 (57.5%); 54 (52.4%); .446,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441638,http://dx.doi.org/10.1093/ntr/ntu210,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,11,1,6,0,sbjCol,Race/Ethnicity,"White, non-Hispanic",,,153 (35.6%; 111 (33.9%); 42 (40.8%); .446,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441638,http://dx.doi.org/10.1093/ntr/ntu210,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,11,1,7,0,sbjCol,Race/Ethnicity,Other race,,,35 (8.1%); 28 (8.6%); 7 (6.8%); .446,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441638,http://dx.doi.org/10.1093/ntr/ntu210,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,11,2,4,0,sbjCol,Race/Ethnicity,Race,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441641,http://dx.doi.org/10.1093/ntr/ntu210,Race/Ethnicity,
Nicotine & Tobacco Research,11,2,5,0,sbjCol,Race/Ethnicity,African American/Black,,,242 (56.3%); 192 (59.3%); 50 (47.2%); .072,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441641,http://dx.doi.org/10.1093/ntr/ntu210,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,11,2,6,0,sbjCol,Race/Ethnicity,"White, non-Hispanic",,,153 (35.6%; 109 (33.6%); 44 (41.5%); .072,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441641,http://dx.doi.org/10.1093/ntr/ntu210,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,11,2,7,0,sbjCol,Race/Ethnicity,Other race,,,35 (8.1%); 23 (7.1%); 12 (11.3%); .072,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441641,http://dx.doi.org/10.1093/ntr/ntu210,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,12,1,3,0,sbjCol,Race/Ethnicity,"Race, % (n)",,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33448324,http://dx.doi.org/10.1093/ntr/ntu272,Race/Ethnicity,
Nicotine & Tobacco Research,12,1,4,0,sbjCol,Race/Ethnicity,Black,,,33.4 (401); 32.63 (295); 35.69 (106); ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33448324,http://dx.doi.org/10.1093/ntr/ntu272,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,12,1,5,0,sbjCol,Race/Ethnicity,Latino,,,33.3 (400); 33.19 (300); 33.67 (100); ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33448324,http://dx.doi.org/10.1093/ntr/ntu272,Race/Ethnicity,Latin American; 
Nicotine & Tobacco Research,12,1,6,0,sbjCol,Race/Ethnicity,White,,,33.3 (400); 34.18 (309); 30.64 (91); ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33448324,http://dx.doi.org/10.1093/ntr/ntu272,Race/Ethnicity,White; 
Nicotine & Tobacco Research,12,2,3,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,1.10 (0.93–1.30); 0.24; 1.08 (0.90–1.29); .42; 1.08 (0.90–1.29); .39,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33448335,http://dx.doi.org/10.1093/ntr/ntu272,Race/Ethnicity,
Nicotine & Tobacco Research,13,1,4,0,sbjCol,Race/Ethnicity,Race,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453135,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,
Nicotine & Tobacco Research,13,1,5,0,sbjCol,Race/Ethnicity,Non-White,,,173 (18.2),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453135,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,Non-White; 
Nicotine & Tobacco Research,13,1,6,0,sbjCol,Race/Ethnicity,White,,,777 (81.8),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453135,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,White; 
Nicotine & Tobacco Research,13,1,7,0,sbjCol,Race/Ethnicity,Ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453135,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,
Nicotine & Tobacco Research,13,1,8,0,sbjCol,Race/Ethnicity,Hispanic,,,63 (6.6),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453135,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,13,1,9,0,sbjCol,Race/Ethnicity,Non-Hispanic,,,893 (93.4),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453135,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,; non-Hispanic
Nicotine & Tobacco Research,13,3,3,0,sbjCol,White,Non-White,,,"1.01 (0.59, 1.70), .983; ",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453142,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,Non-White; 
Nicotine & Tobacco Research,13,3,4,0,sbjCol,Race/Ethnicity,Hispanic,,,"1.04 (0.41, 2.61), .935; ",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453142,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,13,4,2,0,sbjCol,White,Non-White,,,"0.77 (0.47, 1.29), .325; ",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453145,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,Non-White; 
Nicotine & Tobacco Research,13,4,3,0,sbjCol,Race/Ethnicity,Hispanic,,,"1.54 (0.95, 2.48), .078; ",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453145,http://dx.doi.org/10.1093/ntr/ntu336,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,16,1,9,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028085,http://dx.doi.org/10.1093/ntr/ntu137,Race/Ethnicity,
Nicotine & Tobacco Research,16,1,10,0,sbjCol,Race/Ethnicity,"White, non-Hispanic",,,52; 42; 54; .40,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028085,http://dx.doi.org/10.1093/ntr/ntu137,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,16,1,11,0,sbjCol,Race/Ethnicity,"Black, non-Hispanic",,,10; 4; 11; .40,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028085,http://dx.doi.org/10.1093/ntr/ntu137,Race/Ethnicity,Black or African American; non-Hispanic 
Nicotine & Tobacco Research,16,1,12,0,sbjCol,Race/Ethnicity,Hispanic,,,26; 41; 23; .40,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028085,http://dx.doi.org/10.1093/ntr/ntu137,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,16,1,13,0,sbjCol,Race/Ethnicity,"Biracial/multiracial/other, non-Hispanic",,,13; 13; 13; .40,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028085,http://dx.doi.org/10.1093/ntr/ntu137,Race/Ethnicity,Multiracial; non-Hispanic 
Nicotine & Tobacco Research,16,1,23,0,sbjCol,Living situation,Other,,,4; 5; 3; .84,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028085,http://dx.doi.org/10.1093/ntr/ntu137,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,17,1,8,0,sbjCol,Race/Ethnicity,% Caucasian,,,86.3; 86.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33451833,http://dx.doi.org/10.1093/ntr/ntu284,Race/Ethnicity,White; 
Nicotine & Tobacco Research,18,1,3,0,sbjCol,White,White,,,; 65.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33450687,http://dx.doi.org/10.1093/ntr/ntu281,Race/Ethnicity,White; 
Nicotine & Tobacco Research,18,1,4,0,sbjCol,White Black,Black,,,; 27.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33450687,http://dx.doi.org/10.1093/ntr/ntu281,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,19,1,5,0,sbjCol,Race/Ethnicity,Race,,,; ; ; 3.55; 0.06,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33443064,http://dx.doi.org/10.1093/ntr/ntu230,Race/Ethnicity,
Nicotine & Tobacco Research,19,1,6,0,sbjCol,Race/Ethnicity,White,,,32 (57); 25.3 (22); 38.5 (35); ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33443064,http://dx.doi.org/10.1093/ntr/ntu230,Race/Ethnicity,White; 
Nicotine & Tobacco Research,19,1,7,0,sbjCol,Race/Ethnicity,African American/other,,,68 (121); 74.7 (65); 61.5 (56); ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33443064,http://dx.doi.org/10.1093/ntr/ntu230,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,19,2,9,0,sbjCol,Other,Other,,,11 (10); 12.2 (9.4); 17.4 (6.6); 20 (2); 40 (4); 20 (2); 70 (7); 30 (3),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33443066,http://dx.doi.org/10.1093/ntr/ntu230,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,20,1,7,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33447927,http://dx.doi.org/10.1093/ntr/ntu271,Race/Ethnicity,
Nicotine & Tobacco Research,20,1,8,0,sbjCol,Race/Ethnicity,"White, NH",,,64.2; 67.0; .13; 65.4; 67.5; <.0001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33447927,http://dx.doi.org/10.1093/ntr/ntu271,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,20,1,9,0,sbjCol,Race/Ethnicity,"Black or African American, NH",,,20.9; 17.7; .13; 20.2; 16.6; <.0001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33447927,http://dx.doi.org/10.1093/ntr/ntu271,Race/Ethnicity,Black or African American; non-Hispanic 
Nicotine & Tobacco Research,20,1,10,0,sbjCol,Race/Ethnicity,Hispanic,,,8.6; 8.0; .13; 8.9; 10.3; <.0001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33447927,http://dx.doi.org/10.1093/ntr/ntu271,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,20,1,11,0,sbjCol,Race/Ethnicity,"Other, NH",,,6.3; 7.3; .13; 5.5; 5.5; <.0001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33447927,http://dx.doi.org/10.1093/ntr/ntu271,Race/Ethnicity,Others; non-Hispanic
Nicotine & Tobacco Research,20,1,15,0,sbjCol,Language,Other,,,0.0; 0.1; .45; 0.0; 0.0; <.0001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33447927,http://dx.doi.org/10.1093/ntr/ntu271,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,20,2,7,0,sbjCol,How heard aboutc,Other,,,5.1; 8.8; <.0001; 3.8; 6.2; <.0001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33447944,http://dx.doi.org/10.1093/ntr/ntu271,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,20,2,13,0,sbjCol,Tobacco type reported at enrollment,Other,,,0.4; 0.3; <.0001; 0.4; 0.4; .6165,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33447944,http://dx.doi.org/10.1093/ntr/ntu271,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,26,1,11,0,sbjCol,Race/Ethnicity,Race,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697785,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,
Nicotine & Tobacco Research,26,1,12,0,sbjCol,Race/Ethnicity,White,,,74.2%; 69.5%; 71.5%; 70.3%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697785,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,White; 
Nicotine & Tobacco Research,26,1,13,0,sbjCol,Race/Ethnicity,Black,,,11.5%; 11.3%; 11.4%; 11.3%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697785,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,26,1,14,0,sbjCol,Race/Ethnicity,Other,,,14.3%; 19.2%; 17.1%; 17.5%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697785,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,26,2,12,0,sbjCol,Race/Ethnicity,Race,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697806,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,
Nicotine & Tobacco Research,26,2,13,0,sbjCol,Race/Ethnicity,White,,,1.7 (1.2–2.2); 8.3 (7.2–9.4); 12.3 (11.0–13.6); 13.1 (11.7–14.5); 385%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697806,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,White; 
Nicotine & Tobacco Research,26,2,14,0,sbjCol,Race/Ethnicity,Black,,,1.9 (0.3–3.5); 3.7 (1.7–5.7); 5.3 (2.8–7.8); 11.5 (8.1–14.9); 721%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697806,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,26,2,15,0,sbjCol,Race/Ethnicity,Other,,,1.8 (0.4–3.2); 5.6 (3.4–7.8); 7.3 (4.7–9.9); 14.0 (11.1–16.9); 775%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697806,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,26,3,12,0,sbjCol,Race/Ethnicity,Race,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697808,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,
Nicotine & Tobacco Research,26,3,13,0,sbjCol,Race/Ethnicity,White,,,"0.3% (0.1–0.5); 0.8% (0.4–1.2); 1.9% (1.4–2.4); 6.7% (5.6–7.8); 2,133%",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697808,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,White; 
Nicotine & Tobacco Research,26,3,14,0,sbjCol,Race/Ethnicity,Black,,,"0.3% (0.0–0.9); 0.6% (0.0–1.4); 0.3% (0.0–0.9); 4.3% (2.2–6.4); 1,333%",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697808,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,26,3,15,0,sbjCol,Race/Ethnicity,Other,,,"0.4% (0.0–1.0); 1.0% (0.2–1.8); 2.1% (0.7–3.5); 8.9% (6.5–11.3); 2,125%",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32697808,http://dx.doi.org/10.1093/ntr/ntu213,Race/Ethnicity,Others; 
