sc_ch_raw,tableLbink,sc_ch_raw_clean,semantic_0_clean,raceTerm,ethnicTerm
"AI/AN d , NH",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42806970,ai an d   nh,,,
"APPS, mean (SD) [range]",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/48912731,apps  mean  sd   range,,,
AUDIT-C,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948237,audit c,,,
Aboriginal,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53626683,aboriginal,,,
Aboriginal and Torres Strait Islander smokers (n = 1297) % (Frequency),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/163624186,aboriginal and torres strait islander smokers  n   1297     frequency,,,
Aboriginal and Torres Strait Islander smokers (n = 1297) % (n),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/163624190,aboriginal and torres strait islander smokers  n   1297     n,,,
Aboriginal and Torres Strait Islander smokers (n = 1297) BivariateOR (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/163624190,aboriginal and torres strait islander smokers  n   1297  bivariateor  95  ci,,,
Aboriginal and Torres Strait Islander smokers (n = 1297) Multivariate OR (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/163624190,aboriginal and torres strait islander smokers  n   1297  multivariate or  95  ci,,,
Aboriginal and/or Torres Strait Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/59587471,aboriginal and or torres strait islander,,,
Acceptance and Action Questionniare (AAQ)*,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/206835010,acceptance and action questionniare  aaq,,,
"Adolescent race/ethnicity (Ref: African American, n=104)","http://www.tobaccopreventioncessation.com/An-examination-of-social-and-environmental-determinants-of-secondhand-smoke-exposure,131875,0,2.html#t0003",adolescent race ethnicity  ref  african american  n 104,,,
Africa,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/88243512,africa,,,
African,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225689688,african,,,
African (AF),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42837026,african  af,,,
African American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,african american,,,
African American % ( n ),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113588745,african american     n,,,
African American (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/97498468,african american,,,
African American (N = 178) M (SD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113580440,african american  n   178  m  sd,,,
African American (N = 178) M (SD) or %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113580435,african american  n   178  m  sd  or,,,
African American (n = 116) M (SD)/%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028808,african american  n   116  m  sd,,,
African American (non-Hispanic),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815746,african american  non hispanic,,,
African American (ref),"http://www.tobaccoinduceddiseases.org/Utilization-receptivity-and-reactivity-to-Interactive-Voice-nResponse-daily-monitoring,84972,0,2.html#t0003",african american  ref,,,
African American 12 to 17,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42810227,african american 12 to 17,,,
African American 18 to 25,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42810231,african american 18 to 25,,,
African American Marijuana and tobacco at the same age AOR (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807444,african american marijuana and tobacco at the same age aor  95  ci,,,
African American Marijuana and tobacco same age %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807441,african american marijuana and tobacco same age,,,
African American Marijuana and tobacco same age (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807441,african american marijuana and tobacco same age  95  ci,,,
African American Marijuana before tobacco %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807441,african american marijuana before tobacco,,,
African American Marijuana before tobacco (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807441,african american marijuana before tobacco  95  ci,,,
African American Marijuana before tobacco AOR (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807444,african american marijuana before tobacco aor  95  ci,,,
African American Menthol (n = 25),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139398,african american menthol  n   25,,,
African American Menthol (n = 27),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139389,african american menthol  n   27,,,
African American Menthol (n = 27) NS,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139406,african american menthol  n   27  ns,,,
African American Menthol (n = 27) ST,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139406,african american menthol  n   27  st,,,
African American Non-menthol (n = 12),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139398,african american non menthol  n   12,,,
African American Non-menthol (n = 17),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139389,african american non menthol  n   17,,,
African American Non-menthol (n = 17) NS,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139406,african american non menthol  n   17  ns,,,
African American Non-menthol (n = 17) ST,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139406,african american non menthol  n   17  st,,,
African American Sample size Sample size,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807441,african american sample size sample size,,,
African American Tobacco before marijuana %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807441,african american tobacco before marijuana,,,
African American Tobacco before marijuana (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807441,african american tobacco before marijuana  95  ci,,,
African American Tobacco before marijuana AOR (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42807444,african american tobacco before marijuana aor  95  ci,,,
African American versus White comparison Crude (P value),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028813,african american versus white comparison crude  p value,,,
African American versus White comparison −31.8 (<.001) DR (P value),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028813,african american versus white comparison −31 8    001  dr  p value,,,
African American versus White comparison −31.8 (<.001) PSW (P value),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028813,african american versus white comparison −31 8    001  psw  p value,,,
African American × Female,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/222869855,african american × female,,,
African American × Income,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/222869855,african american × income,,,
African American × Income × Female,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/222869855,african american × income × female,,,
"African American, N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/191023072,african american  n,,,
"African American, non-Hispanic",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/129568849,african american  non hispanic,,,
African American/ Black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587725,african american  black,,,
African American/Black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33441638,african american black,,,
African American/black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607569,african american black,,,
African American/black/other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87525686,african american black other,,,
African American/other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33443064,african american other,,,
African Americanc,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204125894,african americanc,,,
African Americans (n = 373),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/209692937,african americans  n   373,,,
African Americans—high,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815746,african americans high,,,
African Americans—low,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815746,african americans low,,,
African Region,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",african region,,,
African- American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892658,african  american,,,
African-American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/48912731,african american,,,
African-American (reference),"http://www.tobaccoinduceddiseases.org/Natural-American-Spirit-brand-preference-among-smokers-with-nmental-illness,94456,0,2.html#t0002",african american  reference,,,
"African-American, non-Hispanic",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139520,african american  non hispanic,,,
African-American/Black,"http://www.tobaccoinduceddiseases.org/Natural-American-Spirit-brand-preference-among-smokers-with-nmental-illness,94456,0,2.html#t0001",african american black,,,
African-Americans (N = 1654),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/135893959,african americans  n   1654,,,
AfricanAmerican,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120016447,africanamerican,,,
Age,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77027354,age,,,
Age (18–60),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113610873,age  18–60,,,
Age (in years)a,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202859891,age  in years a,,,
Age (y),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815038,age  y,,,
Age (years) b,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36550253,age  years  b,,,
Age (years) began smoking,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113582099,age  years  began smoking,,,
Age (years) began smoking regularly,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113582099,age  years  began smoking regularly,,,
Age at 8-year follow-up,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120967350,age at 8 year follow up,,,
Age at baseline,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113589333,age at baseline,,,
Age at first cigarette,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/190482808,age at first cigarette,,,
"Age at first cigarette (M, SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,age at first cigarette  m  sd,,,
Age at first smoking attempt,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113589333,age at first smoking attempt,,,
Age at first smoking of water pipea,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202859891,age at first smoking of water pipea,,,
"Age at initiation in years, mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587281,age at initiation in years  mean  sd,,,
Age full time education finished (years) (mean [SD]),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33544976,age full time education finished  years   mean  sd,,,
Age in years,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607035,age in years,,,
"Age of LCC initiation (mean, SD )",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113585780,age of lcc initiation  mean  sd,,,
Age started smoking daily,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/95129519,age started smoking daily,,,
"Age, Gender, Race",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892615,age  gender  race,,,
"Age, Gender, Race, Parent Education",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892615,age  gender  race  parent education,,,
"Age, mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137016278,age  mean  sd,,,
"Age, median (IQR)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32699323,age  median  iqr,,,
Alaska,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77027956,alaska,,,
Alaska Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948985,alaska native,,,
Alaska Native tribal group,"http://www.tobaccoinduceddiseases.org/Cultural-and-demographic-correlates-of-dual-tobacco-use-in-a-nsample-of-Alaska-Native,122902,0,2.html#t0002",alaska native tribal group,,,
"Alaska Native tribal group, %","http://www.tobaccoinduceddiseases.org/Cultural-and-demographic-correlates-of-dual-tobacco-use-in-a-nsample-of-Alaska-Native,122902,0,2.html#t0001",alaska native tribal group,,,
Alcohol abuse or dependence,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113608607,alcohol abuse or dependence,,,
"Alcohol abuseb ≥ 4, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587281,alcohol abuseb ≥ 4  n,,,
Alcohol dependence past year,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113580478,alcohol dependence past year,,,
"Alcohol drinking, body mass index and the risk of oral leukoplakia in an Indian population.36",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/105413407,alcohol drinking  body mass index and the risk of oral leukoplakia in an indian population 36,,,
Alcohol drinks/wk,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302954,alcohol drinks wk,,,
"Alcohol use in past year, N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/133792672,alcohol use in past year  n,,,
Alcohol use severityd,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404655,alcohol use severityd,,,
"Alcohol use, 30 days",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45373518,alcohol use  30 days,,,
"Alick-James Morris, Policy Officer, European Commission Directorate General for Employment, Social Affairs and Inclusion in the Unit responsible for health, safety and hygiene at work, Luxembourg",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45371741,alick james morris  policy officer  european commission directorate general for employment  social affairs and inclusion in the unit responsible for health  safety and hygiene at work  luxembourg,,,
All,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113615805,all,,,
All other race/ethnicities,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/164017422,all other race ethnicities,,,
All subjects,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113615804,all subjects,,,
American Indian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36562894,american indian,,,
American Indian and Latino,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948986,american indian and latino,,,
American Indian or Alaska Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/115628504,american indian or alaska native,,,
American Indian or Alaska native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113610801,american indian or alaska native,,,
American Indian or Alaskan Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113616496,american indian or alaskan native,,,
American Indian or Alaskan native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204606295,american indian or alaskan native,,,
"American Indian, Alaskan Native",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/78443118,american indian  alaskan native,,,
American Indian/ Alaska Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948985,american indian  alaska native,,,
American Indian/ Alaska Native (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42241869,american indian  alaska native,,,
American Indian/Alaska,"http://www.tobaccoinduceddiseases.org/Pro-tobacco-marketing-and-anti-tobacco-campaigns-aimed-at-nvulnerable-populations,111397,0,2.html#t0003",american indian alaska,,,
American Indian/Alaska Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82284807,american indian alaska native,,,
American Indian/Alaska Native (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42241865,american indian alaska native,,,
American Indian/Alaskan,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815563,american indian alaskan,,,
American Indian/Alaskan Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42803868,american indian alaskan native,,,
American Indian–Alaskan native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225690005,american indian–alaskan native,,,
American Indian—Native Alaskan,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42871911,american indian native alaskan,,,
American Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42810429,american native,,,
American Native (vs. non-Hispanic white),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42810431,american native  vs  non hispanic white,,,
"Anna Jassem-Staniecka, Policy Officer, European Commission Directorate General for Health and Consumers, Unit 4, Belgium",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45371741,anna jassem staniecka  policy officer  european commission directorate general for health and consumers  unit 4  belgium,,,
Annual cohort,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607304,annual cohort,,,
Annual household income (in $1000s)d,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113610873,annual household income  in  1000s d,,,
Annual income,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/222869851,annual income,,,
Annual income (USD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,annual income  usd,,,
Antipsychotic drug class,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42803868,antipsychotic drug class,,,
Anxiety disorder past year,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113580478,anxiety disorder past year,,,
Any close friend uses tobacco,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77027354,any close friend uses tobacco,,,
Any mental illness,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113608607,any mental illness,,,
Any other Asian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/165678065,any other asian,,,
Any other Black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/165678065,any other black,,,
Any other mixed background,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/165678065,any other mixed background,,,
Arab,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204704542?guestAccessKey=e73938af-b2c6-479e-96ef-731013ca2b35,arab,,,
Arab (n=124),"http://www.tobaccopreventioncessation.com/Tobacco-cessation-support-among-dentists-A-cross-sectional-survey-in-Saudi-Arabia,75795,0,2.html#t0001",arab  n 124,,,
Arab (n=48),"http://www.tobaccopreventioncessation.com/Tobacco-cessation-support-among-dentists-A-cross-sectional-survey-in-Saudi-Arabia,75795,0,2.html#t0001",arab  n 48,,,
Arab American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/112983157,arab american,,,
Asia,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/88243512,asia,,,
Asia/Pacific,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139023,asia pacific,,,
Asian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53616942,asian,,,
Asian (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/97498468,asian,,,
Asian (A),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42837026,asian  a,,,
Asian 5.2% (n = 4900),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607301,asian 5 2   n   4900,,,
Asian 7.3% (n = 3946),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607301,asian 7 3   n   3946,,,
Asian American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33548151,asian american,,,
Asian American and Native Hawaiian/ Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948985,asian american and native hawaiian  pacific islander,,,
Asian American/Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,asian american pacific islander,,,
Asian Indian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/163623638,asian indian,,,
Asian N = 53,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622354,asian n   53,,,
Asian Non-Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116437432,asian non hispanic,,,
Asian Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/219205334,asian pacific islander,,,
Asian or Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87406516,asian or pacific islander,,,
Asian*,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77032757,asian,,,
"Asian, Middle Eastern or Indian",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202711385,asian  middle eastern or indian,,,
"Asian, Native Hawaiian, or Other Pacific Islander",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/115628504,asian  native hawaiian  or other pacific islander,,,
"Asian, Pacific Islander",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,asian  pacific islander,,,
"Asian, Pacific Islander, NH",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42806980,asian  pacific islander  nh,,,
"Asian, non-Hispanic",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113609531,asian  non hispanic,,,
Asian-American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42803868,asian american,,,
