Conference,Year,Title,PaperType,Matched,Abstract,Highlights,Link,AuthorNames,AuthorAffiliation,Coder1,Coder2,Coder3,Vote,Exceptions
Nicotine & Tobacco Research,2016,Awareness and Use of Dissolvable Tobacco Products in the United States,article,"['bisexual', 'gay', 'lesbian', 'lgbt', 'transgender']","Introduction: Little is known about dissolvable tobacco products (DTPs) compared with other alternative tobacco products (ATPs) like e-cigarettes and snus. We sought to understand US adults’ awareness and use of DTPs. Methods:  A nationally representative sample of US adults (age ≥ 18 years, N = 17 522) completed an online survey in March 2013 assessing their awareness and use of DTPs.  Results: Approximately 16% of all respondents were aware of DTPs. Few reported ever using DTPs (1.6%). DTP awareness among all respondents was greatest among males, younger adults, current and former smokers, never married respondents, blacks and Latinos, and those who used other ATPs. Among current smokers, DTP awareness was greatest for males, younger adults, blacks and Latinos, those who used other ATPs, and Southerners. DTP use among all respondents was greatest among males, younger adults, Lesbian, Gay, Bisexual, and Transgender (LGBT) respondents, former and current smokers, and those who used other ATPs. Among current smokers, DTP use was greatest among males, younger adults, LGBT respondents, those who used other ATPs, those who intended to quit, and those who received medical advice to quit. Conclusions: DTP awareness and use have increased since 2009. DTPs are being used as smoking cessation aids thereby increasing risk of polytobacco use. Medical professionals should emphasize use of empirically-supported smoking cessation aids when advising patients to quit. Regulations are needed to prevent tobacco company promotion of DTPs as smoking cessation aids and to inform consumers of the risks associated with DTPs and polytobacco use. Increased national surveillance of DTP use is recommended.",,http://dx.doi.org/10.1093/ntr/ntv212,"Cabrera-Nguyen, E. Peter; Cavazos-Rehg, Patricia; Krauss, Melissa; Kim, Yoonsang; Emery, Sherry","Department of Psychiatry, Washington University School of Medicine , St. Louis, MO ;  Department of Psychiatry, Washington University School of Medicine , St. Louis, MO ;  Department of Psychiatry, Washington University School of Medicine , St. Louis, MO ;  Institute for Health Research and Policy, University of Illinois at Chicago , Chicago, IL ;  School of Public Health, University of Illinois College of Medicine at Chicago , Chicago, IL",,,1,1,
Nicotine & Tobacco Research,2016,"Intragroup Variance in Lesbian, Gay, and Bisexual Tobacco Use Behaviors: Evidence That Subgroups Matter, Notably Bisexual Women",article,"['bisexual', 'bisexuals', 'gay', 'gender', 'heterosexual', 'lesbian', 'lgb', 'non-lgb']","Introduction: Emerging evidence suggests bisexual populations are at increased risk for a variety of negative health outcomes, including tobacco use. Lesbian, gay, and bisexual (LGB) populations are at increased risk for cigarette smoking, but research on LGB subpopulations’ use of tobacco products beyond cigarettes and tobacco use differences across LGB subgroups is in its infancy. This study explores differences in use of tobacco products across LGB subgroups, including gender differences among bisexuals. Methods: This study reports results from a 2013 nationally-representative cross-sectional online survey of US adults (N = 17 087). Weighted tobacco use prevalence and adjusted logistic regression results are reported. Results: LGB populations reported higher current use of any tobacco product (35.7%) and current use of cigarettes (32.0%), e-cigarettes (8.9%), regular (5.5%) and small cigars (11.6%), compared with non-LGB. Bisexual (odds ratio [OR] = 2.6, 95% confidence interval [CI]: 1.7–3.9) and lesbian (OR = 1.7, 95% CI: 1.0–2.7) women have higher odds of any tobacco use than heterosexual women; including greater odds of regular (OR = 2.9, 95% CI: 1.2–7.0 and OR = 2.2, 95% CI: 1.3–3.9; respectively) and small cigar use (OR = 2.4, 95% CI: 1.4–4.1 and OR = 3.2, 95% CI: 2.0–5.1; respectively). Gay men had lower odds of cigar use (OR = 0.4, 95% CI: 0.2–0.8) than heterosexual men. Conclusions: This is the first US adult population study to assess differences in use of various tobacco products across adult LGB subpopulations and by gender, confirming their increased risk of use and illuminating differences by subgroup and gender. Exploring LGB as a unified population appears inadequate to accurately characterize LGB tobacco use risk. Tobacco-related LGB health inequities, particularly among bisexual and lesbian women, may be greater than previously indicated. Implications: This manuscript provides important contributions to the field of tobacco control and prevention, and more specifically to LGB tobacco-related health disparities research. This is among the first population level studies to explore various tobacco use across LGB populations and across genders, comparing results to non-LGB populations in a national study. We provide novel evidence that bisexual women in particular, have a higher risk for use of various tobacco products, compared with other LGB subpopulations. In order to address this disparity, tobacco control professionals need to be made aware of these important differences in tobacco use behavior.",,http://dx.doi.org/10.1093/ntr/ntv208,"Emory, Kristen; Kim, Yoonsang; Buchting, Francisco; Vera, Lisa; Huang, Jidong; Emery, Sherry L.","Health Media Collaboratory, Institute for Health Research and Policy, University of Illinois at Chicago, Chicago, IL; Moores Cancer Center at the University of California, San Diego, La Jolla, CA; Health Media Collaboratory, Institute for Health Research and Policy, University of Illinois at Chicago, Chicago, IL; Moores Cancer Center, Horizons Foundation, San Francisco, CA Health Media Collaboratory, Institute for Health Research and Policy, University of Illinois at Chicago, Chicago, IL; Moores Cancer Center at the University of California, San Diego, La Jolla, CA; Health Media Collaboratory, Institute for Health Research and Policy, University of Illinois at Chicago, Chicago, IL; Health Media Collaboratory, Institute for Health Research and Policy, University of Illinois at Chicago, Chicago, IL;",,,1,1,
Nicotine & Tobacco Research,2016,Structural Discrimination is Associated With Smoking Status Among a National Sample of Transgender Individuals,article,"['gender', 'gender identity', 'transgender']","Introduction: Limited evidence suggests that transgender individuals smoke at significantly higher rates than the general population. We aimed to determine whether structural or everyday discrimination experiences predict smoking behavior among transgender individuals when sociodemographic, health, and gender-specific factors were controlled. Methods: Data from the National Transgender Discrimination Survey (N = 4781), a cross-sectional online and paper survey distributed to organizations serving the transgender community, were analyzed in order to determine the association between current smoking and discrimination experiences and other potential predictors. Logistic regression models were used to establish factors that predict smoking. Results: Participants reported experiencing both structural (80.4%) and everyday (65.9%) discrimination. Multivariate analyses showed that participants who reported attending some college, graduating college, or having a graduate degree were less likely to smoke compared to those with a high school degree or less. Uninsured participants were more likely to report smoking compared to those with private insurance. Those who used alcohol or drugs for coping were also more likely to smoke. Participants whose IDs and records listed their preferred gender were less likely to smoke (OR = 0.84); those who had experienced structural discrimination were more like to report smoking (OR = 1.65). Conclusions: Further research is needed in order to explore the relationship between smoking and legal transition among transgender individuals. Strategies to prevent smoking and encourage cessation among this vulnerable population are also needed. In addition, comprehensive collection of gender identity data in the context of national surveys, tobacco-related research, and clinical settings is sorely needed. Implications: This study establishes a link between experiences of structural discrimination among transgender individuals and smoking status.",,http://dx.doi.org/10.1093/ntr/ntv221,"Shires, Deirdre A.; Jaffee, Kim D.","School of Social Work, Wayne State University, Detroit, MI School of Social Work, Wayne State University, Detroit, MI",,,1,1,
Nicotine & Tobacco Research,2017,Can Smoke-Free Policies Reduce Tobacco Use Disparities of Sexual and Gender Minorities in Missouri?,article,"['gender', 'gender minority', 'sexual and gender minority']","Objective The purpose of this study is to explore the associations between smoke-free policies, current and former smoking status, personal smoking restrictions, and intention to quit among sexual and gender minority (SGM) and non-SGM individuals in Missouri. Aims and Methods The current analysis derives from the Out, Proud and Healthy project. Chi-squares examined differences between SGM (N = 2210) and non-SGM (N = 586) respondents and former (N = 836) and current (N = 1960) smokers on smoking-related variables. Odds ratios and 95% confidence intervals from logistic regression identified variables associated with former (vs. current) smoking. Results SGM current smokers (25%) were significantly more likely than SGM former smokers (19%) to live in a community without a smoke-free policy. Among SGM current smokers, significantly greater intention to quit was seen in those living in a smoke-free community with a smoke-free policy of two or more years (94%) compared with those living in a community without a smoke-free policy (76%). Conclusions Living in an area with smoke-free policies is related to greater intention to quit among SGM current smokers, greater support for smoke-free policies, and lower smoking prevalence for this community. The SGM community may collectively accrue greater public health benefits from the adoption of smoke-free policies than the non-SGM community. Implications Prior to this study, no data are available regarding current and former smoking status among SGM individuals following the implementation of a local smoke-free policy. The purpose of this study was to explore the relationship between smoke-free policies, current and former smoking status, and intention to quit among SGM and non-SGM individuals in Missouri. This study finds evidence of lower current smoking prevalence and greater intentions to quit among SGM current smokers who live in communities with smoke-free policies. The SGM community may collectively accrue greater public health benefits from the adoption of smoke-free policies than the non-SGM community.",,http://dx.doi.org/10.1093/ntr/ntx078,"Wintemberg, Jenna; McElroy, Jane A; Ge, Bin; Everett, Kevin D","Department of Health Sciences, University of Missouri, Columbia, MO; Department of Family and Community Medicine, University of Missouri, Columbia, MO; Department of Medical Research, University of Missouri, Columbia, MO Department of Family and Community Medicine, University of Missouri, Columbia, MO;",,,1,1,
Nicotine & Tobacco Research,2017,"Smoking Cessation Programs for Lesbian, Gay, Bisexual, Transgender, and Intersex People: A Content-Based Systematic Review",article,"['bisexual', 'gay', 'intersex', 'lesbian', 'lesbians', 'lgbt', 'transgender']","Introduction Tobacco use among lesbian, gay, bisexual, and transgender (LGBT) people is double the general population. Limited evidence suggests high smoking rates among intersex people. Lesbian, gay, bisexual, transgender, and intersex (LGBTI) people are a priority population in Australian health policy, particularly mental health and aging. Despite associations between smoking and noncommunicable diseases relevant to aging and mental health, LGBTI-targeted smoking cessation interventions in Australia have been limited to people living with HIV. Applying existing interventions to marginalized populations without modification and evaluation may fail and exacerbate inequities. Aims To assess outcomes and characterize the populations served, cultural modifications, and behavior change techniques (BCTs) of interventions to reduce LGBTI smoking. Methods We searched MEDLINE, six additional databases, and contacted authors to retrieve published and unpublished program evaluations. Results We retrieved 19 studies (3663 participants). None used control groups. Overall quit rate was 61.0% at the end of interventions and stabilized at 38.6% at 3–6 months. All studies included gay men, 13 included lesbians, 13 “LGBT,” 12 bisexual people, five transgender people, and none included intersex people. Transgender people comprised 3% of participants. Of programs open to women, 27.8% of participants were women. Cultural modifications were used by 17 (89.5%) studies, commonly meeting in LGBT spaces, discussing social justice, and discussing LGBT-specific triggers. Common BCTs included providing normative information, boosting motivation/self-efficacy, relapse prevention, social support, action planning, and discussing consequences. Conclusions Quit rates were high; using control groups would improve evaluation. Existing programs may fail to reach groups other than gay men. Implications This review examines the evidence for LGBTI-targeted smoking cessation interventions. Populations within LGBTI are not proportionally represented in smoking cessation research, and no study addressed intersex smoking. Overall, LGBT-targeted interventions appear to be effective, and simply having an LGBT-specific group may be more effective than groups for the general population. More rigorous research is necessary to draw firm conclusions. Our study space analysis provides suggestions for areas of more targeted research on mechanisms underlying these complex interventions’ success.",,http://dx.doi.org/10.1093/ntr/ntw216,"Berger, Israel; Mooney-Somers, Julie","Centre for Values, Ethics and Law in Medicine (VELiM), Sydney School of Public Health, University of Sydney, Sydney, NSW, Australia Centre for Values, Ethics and Law in Medicine (VELiM), Sydney School of Public Health, University of Sydney, Sydney, NSW, Australia",,,1,1,
Nicotine & Tobacco Research,2017,LGBTQ Youth and Young Adult Perspectives on a Culturally Tailored Group Smoking Cessation Program,article,"['lgbtq', 'non-lgbtq']","Introduction The prevalence of smoking among LGBTQ youth and young adults (YYAs) is much higher than that of non-LGBTQ young people. The current study explored LGBTQ YYA perceptions of a culturally tailored group smoking cessation counselling program, along with how the intervention could be improved. Methods We conducted focus groups (n = 24) with 204 LGBTQ YYAs in Toronto and Ottawa, Canada. Open-ended questions focused on their feelings, likes and dislikes, concerns and additional ideas for a culturally tailored group cessation counselling intervention. Focus group transcripts were coded thematically and analyzed. Results Overall, YYAs were ambivalent towards the concept of a culturally tailored, group cessation counselling program. Although several participants were attracted to the LGBTQ friendly and social benefits of such a program (eg, good support system), many also had concerns. Particularly, the possibility that other group members might trigger them to smoke was a frequently stated issue. Focus group members also noted lack of motivation to attend the group, and that the group program may be inaccessible depending on where and when the program was offered. Several suggestions were made as to how to ameliorate the expressed issues related to inaccessibility or lack of attractiveness. Conclusions This study is among the first to gain the perspectives of LGBTQ YYAs on culturally tailored group cessation strategies in Canada. We identified components of group cessation programs that are both favored and not favored among LGBTQ YYAs, as well as suggestions as to how to make group cessation programs more appealing. Implications This study is particularly relevant as smoking cessation programs are one of the most commonly offered and published cessation interventions for the LGBTQ community, yet little is understood in terms of preferences of LGBTQ YYA smokers. Given the disparity in the prevalence of smoking among LGBTQ young people compared to their non-LGBTQ peers, research on effective intervention strategies for this population is needed. Findings from this study can assist practitioners and researchers in designing interventions.",,http://dx.doi.org/10.1093/ntr/ntx011,"Baskerville, Neill Bruce; Shuh, Alanna; Wong-Francq, Katy; Dash, Darly; Abramowicz, Aneta","Propel Centre for Population Health Impact, University of Waterloo,Waterloo, Canada Propel Centre for Population Health Impact, University of Waterloo,Waterloo, Canada Propel Centre for Population Health Impact, University of Waterloo,Waterloo, Canada Propel Centre for Population Health Impact, University of Waterloo,Waterloo, Canada Propel Centre for Population Health Impact, University of Waterloo,Waterloo, Canada",,,1,1,
Nicotine & Tobacco Research,2018,Effects of Sexual Orientation on the Relationship Between Victimization Experiences and Smoking Status Among US Women,article,"['bisexual', 'heterosexual', 'lesbian', 'sexual minority', 'sexual orientation']","Introduction This study examined the relationships between experiences of childhood and adulthood victimization and current smoking among heterosexual and sexual minority women. The main hypothesis was that victimization experiences would predict current smoking status. Further, we hypothesized that the effect of childhood victimization on self-reported smoker status would be mediated by adult victimization. Methods Data are from two studies conducted in the United States that used similar methods and questionnaires in order to conduct a comparative analysis of women based on sexual orientation. Data from Wave 1 (2000–2001) of the Chicago Health and Life Experiences of Women (CHLEW) study and from Wave 5 (2001) of the National Study of Health and Life Experiences of Women (NSHLEW) study were used in these analyses. Results Twenty-eight percent of the sample reported current smoking. Victimization experiences were common, with 63.4% of participants reporting at least one type of victimization in childhood and 40.2% reporting at least one type in adulthood. Women who identified as heterosexual were less likely to be victimized during childhood than were women who identified as lesbian or bisexual. Adult victimization had a significant effect on current smoker status, and the effect of childhood victimization on smoker status was mediated by adult victimization. When examined by sexual orientation, this indirect relationship remained significant only among bisexual women in the sample. Conclusions Study findings make a valuable contribution to the literature on victimization and health risk behaviors such as smoking. Given the negative and long-term impact of victimization on women, strategies are needed that reduce the likelihood of victimization and subsequent engagement in health risk behaviors such as smoking. Implications The study findings make a valuable contribution to the literature on sexual minority women’s health on the influence of victimization on health risk behaviors. With the goal of reducing the likelihood of adult victimization and subsequent engagement in health risk behaviors, programs and policies aimed at preventing victimization of women are warranted. Providers and community health agencies should assess and target physically and sexually abused sexual minority youth for mental health intervention with the goal of interrupting the progression from childhood victimization to adult victimization and subsequent engagement in health risk behaviors.",,http://dx.doi.org/10.1093/ntr/ntx052,"Matthews, Alicia K; Cho, Young Ik; Hughes, Tonda L; Wilsnack, Sharon C; Aranda, Frances; Johnson, Timothy","Department of Health Systems Sciences, College of Nursing, University of Illinois at Chicago, Chicago, IL Department of community and behavioral health promotion, University of Wisconsin Milwaukee, Zilber School of Public Health, Community and Behavioral Health Promotion, Milwaukee, WI Department of Health Systems Sciences, College of Nursing, University of Illinois at Chicago, Chicago, IL Department of Psychiatry and Behavioral Science, University of North Dakota School of Medicine and Health Sciences, Grand Forks, ND Rush University Medical Center, Department of Behavioral Studies, Chicago, IL Department of Behavioral Studies, Survey Research Laboratory, University of Illinois at Chicago, Chicago, IL",,,1,1,
Nicotine & Tobacco Research,2018,Frequent Experience of LGBQ Microaggression on Campus Associated With Smoking Among Sexual Minority College Students,article,"['bisexual', 'gay', 'gender', 'gender minority', 'lesbian', 'lgbq', 'queer', 'questioning', 'sexual and gender minority', 'sexual minorities', 'sexual minority']","Introduction Lesbian, gay, bisexual, or queer/questioning (LGBQ) microaggressions refer to often-unintentional insults, assaults, and invalidations that denigrate sexual minorities. While experiencing hostile discrimination and violence has previously been associated with elevated rates of smoking cigarettes for LGBQ college students, the relationship between LGBQ microaggressions and smoking is unknown. Methods Data from a national anonymous online survey of sexual and gender minority college students were used to examine the relationship between past month cigarette smoking and interpersonal LGBQ microaggressions. Multivariable logistic regression assessed the relationship between smoking and frequent (chronic) experiences of microaggressions, using a hierarchical procedure to control for demographics, predictors of smoking, and academic factors. Results Past year frequent LGBQ microaggression was reported by 48% of respondents and was more common among students who smoked in past 30 days. Experiencing past year physical violence was reported by 15% and did not differ by smoking status. Past year frequent experience of microaggressions was associated with increased odds of 1.72 (95% CI 1.03–2.87) for past 30-day smoking after adjusting for age, gender, race, socioeconomic indicators, alcohol misuse, physical violence, as well as academic stress and engagement. Conclusions The results indicate that frequently experiencing LGBQ microaggressions is a risk factor for LGBQ college students smoking cigarettes. The mechanisms underlying this relationship require additional research, as does identifying positive coping strategies and institutional strategies to address LGBQ microaggressions on campuses. Tobacco control efforts should consider the impact of microaggression on the social environment for the prevention and treatment of tobacco use among LGBQ individuals. Implications Microaggressions related to sexual minority identity include subtle forms of discrimination experienced during daily interactions that can create hostile and stressful social environments for a socially disadvantaged group. Prior research has demonstrated that LGBQ college students have higher rates of cigarette smoking, and that experiencing identity-based violence is a risk factor. This study revealed that experiencing frequent LGBQ microaggressions on college campus is associated with increased likelihood of current smoking among LGBQ college students.",,http://dx.doi.org/10.1093/ntr/ntw305,"Ylioja, Thomas; Cochran, Gerald; Woodford, Michael R; Renn, Kristen A","School of Social Work, University of Pittsburgh, Pittsburgh, PA School of Social Work, University of Pittsburgh, Pittsburgh, PA School of Medicine, Department of Psychiatry, University of Pittsburgh, Pittsburgh, PA Lyle S. Hallman Faculty of Social Work, Wilfrid Laurier University, Waterloo, ON College of Education, Department of Educational Administration, Michigan State University, East Lansing, MI",,,1,1,
Nicotine & Tobacco Research,2018,Sexual and Gender Minority College Students and Tobacco Use in Texas,article,"['bisexual', 'gay', 'gender', 'gender minority', 'heterosexual', 'lesbian', 'queer', 'sexual and gender minority', 'transgender']","Introduction Most research regarding sexual and gender minority (SGM) populations is limited to examination of cigarette or general tobacco use or does not examine heterogeneity across SGM groups other than lesbian or gay and bisexual individuals. This study examined differences in the odds of current use and age of initiation of five tobacco/nicotine products among three groups of SGM young adults who self-identified as (1) gay or lesbian, (2) bisexual, and (3) queer, transgender, or “other,” compared to their heterosexual peers. Methods Participants were 4252 college students aged 18–29 years from 24 colleges in Texas who completed an online tobacco use survey. Multilevel logistic regression models were used to examine the odds of SGM participants currently using each tobacco product. Multilevel linear regression models were used to examine the association of current product users’ SGM status with self-reported age of each product’s initiation. All models were adjusted for sociodemographic factors and accounted for students clustered within each college. Results At least one SGM group had significantly greater odds of currently using every tobacco product type compared to heterosexual participants, except hookah. There were few differences across groups in age of initiation. However, queer, transgender, and “other-” identified participants initiated e-cigarettes 1.34 years younger than heterosexual participants, and bisexual participants initiated smokeless tobacco 3.66 years younger than heterosexual participants. Conclusions Findings highlight some significant tobacco use disparities among SGM young adults compared to their heterosexual peers. Longitudinal studies with larger group sizes will identify prospective predictors of sustained SGM-related tobacco use disparities. Implications This study extends the current literature by including the sexual and gender minority identity options of queer, transgender, and “other,” highlighting disparities in tobacco use between young adults in these subgroups compared to their heterosexual peers, particularly in noncigarette tobacco product use. Findings underscore the need for the Food and Drug Association and other health agencies to tailor health communication efforts specific to sexual and gender minority populations pertaining to the risks and harms surrounding tobacco product use.",,http://dx.doi.org/10.1093/ntr/ntx095,"Hinds, Josephine T; Loukas, Alexandra; Perry, Cheryl L","Department of Kinesiology and Health Education, The University of Texas at Austin, Austin, TX Department of Kinesiology and Health Education, The University of Texas at Austin, Austin, TX The Michael & Susan Dell Center for Healthy Living, UTHealth School of Public Health, Austin Campus, Austin, TX",,,1,1,
Nicotine & Tobacco Research,2018,"Association of Lesbian, Gay, and Bisexual Identity Facets With Smoking Dependence Motives",article,"['bisexual', 'gay', 'heterosexual', 'lesbian', 'lgb', 'sexual orientation']","Introduction Lesbian, gay, and bisexual (LGB) adults have higher rates of smoking than heterosexual adults. LGB individuals face unique stressors, including challenges associated with having a LGB identity. The extent to which these unique stressors are related to dependence motives in LGB adult smokers, however, has not been previously explored. The current study was conducted to redress these gaps. Methods Participants (N = 52; Mage = 42.8; 55.8% Black/African American) were recruited from the local community. Identity facets were measured by the Lesbian, Gay, and Bisexual Identity Scale (LGBIS). Dependence motives were measured by the Brief Wisconsin Inventory of Smoking Dependence Motives. Linear multiple regressions were calculated with the predictors of seven LGBIS subscales for primary and secondary dependence motives, respectively. Results Primary dependence motives (core nicotine dependence features) were predicted by affirmation of LGB identity (β = 0.44). Secondary dependence motives (eg, taste, cognitive/affective enhancement) were predicted by uncertainty of LGB identity (β = 0.43). Conclusions LGB identity affirmation was associated with primary dependence motives, suggesting that a positive view of one’s sexual orientation is a risk factor for dependence. It may be that identity affirmation is related to stronger involvement with the LGB community, which has smoking-friendly norms. Identity uncertainty was associated with secondary dependence motives; this unique identity challenge may represent a stressor contributing to smoking dependence. Findings can help explain the higher rate of smoking in LGB populations and offer avenues to better tailor smoking cessation interventions. Implications The current study is the first to examine multidimensional aspects of LGB identity in explaining smoking dependence motives among LGB adults. Results reveal that LGB identity challenges are associated with dependence motives, suggesting that interventions targeting these challenges may be help reduce LGB smoking disparities. Specifically, reducing identity uncertainty may help reduce smoking dependence. Though identity affirmation was a smoking dependence correlate, it is counterproductive to reduce affirmation, given its association with other positive health outcomes. Rather, interventions to change LGB community norms around smoking appear warranted, given the documented high overlap between affirmation and community affiliation.",,http://dx.doi.org/10.1093/ntr/ntx061,"Smith, Nathan Grant; Winderman, Kate; King, Brooke; Obasi, Ezemenari M; Reitzel, Lorraine R","Department of Psychological, Health, and Learning Sciences, College of Education, University of Houston, Houston, TX Department of Psychological, Health, and Learning Sciences, College of Education, University of Houston, Houston, TX Department of Psychological, Health, and Learning Sciences, College of Education, University of Houston, Houston, TX Department of Psychological, Health, and Learning Sciences, College of Education, University of Houston, Houston, TX Department of Psychological, Health, and Learning Sciences, College of Education, University of Houston, Houston, TX",,,1,1,
Nicotine & Tobacco Research,2019,"Evaluation of a Randomized Clinical Trial Comparing the Effectiveness of a Culturally Targeted and Nontargeted Smoking Cessation Intervention for Lesbian, Gay, Bisexual, and Transgender Smokers",article,"['bisexual', 'gay', 'lesbian', 'lgbt', 'transgender']","Purpose To examine the benefits of a culturally targeted compared with a nontargeted smoking cessation intervention on smoking cessation outcomes among lesbian, gay, bisexual, and transgender (LGBT) smokers. Methods A prospective randomized design was used to evaluate the added benefits of an LGBT culturally targeted Courage to Quit (CTQ-CT) smoking cessation treatment (N = 172) compared with the standard intervention (CTQ; N = 173). The smoking cessation program consisted of six treatment sessions combined with 8 weeks of nicotine replacement therapy. The primary smoking cessation outcome was 7-day point prevalence quit rates. Secondary outcomes examined included changes in nicotine dependence, nicotine withdrawal, cigarettes per day, smoking urges, self-efficacy, and readiness to quit. Results Overall quit rates were 31.9% at 1 month, 21.1% at 3 months, 25.8% at 6 months, and 22.3% at 12 months. Quit rates did not differ between treatment groups [1 month OR = 0.81 (0.32, 2.09), 3 months OR = 0.65 (0.23, 1.78), 6 months OR = 0.45 (0.17, 1.21), 12 months OR = 0.70 (0.26, 1.91)]. Compared with baseline levels, all secondary smoking cessation outcomes measured were improved at 1 month and were maintained at 12-month follow-up. Compared with the CTQ, the CTQ-CT intervention was more highly rated on program effectiveness (d = 0.2, p = .011), intervention techniques (d = 0.2, p = .014), the treatment manual (d = 0.3, p < .001), and being targeted to the needs of LGBT smokers (d = 0.5, p < .0001). Conclusions LGBT smokers receiving the CTQ intervention achieved smoking cessation outcomes in the range reported for other demographic groups. Cultural targeting improved the acceptability of the intervention but did not confer any additional benefit for smoking cessation outcomes. Implications Study results have implications for understanding the benefits of culturally targeted compared with nontargeted smoking cessation interventions for improving smoking cessation outcomes among LGBT smokers. Shorter and longer term 7-day point prevalence quit rates associated with the targeted and nontargeted interventions were modest but comparable with other group-based interventions delivered in a community setting. Although cultural targeting improved the overall acceptability of the intervention, no added benefits were observed for the culturally targeted intervention on either the primary or secondary outcomes.",,http://dx.doi.org/10.1093/ntr/nty184,"Matthews, Alicia K; Steffen, Alana D; Kuhns, Lisa M; Ruiz, Raymond A; Ross, Nat A; Burke, Larisa A; Li, Chien Ching; King, Andrea C","Department of Health Systems Sciences, College of Nursing, University of Illinois at Chicago, Chicago, IL Department of Health Systems Sciences, College of Nursing, University of Illinois at Chicago, Chicago, IL Department of Pediatrics, Feinberg School of Medicine, Northwestern University, Chicago, IL College of Medicine, Center for Clinical and Translational Science, University of Illinois at Chicago, Chicago, IL Department of Research, Howard Brown Health Center, Chicago, IL Department of Health Systems Sciences, College of Nursing, University of Illinois at Chicago, Chicago, IL Department of Health Services Research, Rush University, Chicago, IL Department of Psychiatry and Behavioral Neuroscience, University of Chicago, Chicago, IL",,,1,1,
Nicotine & Tobacco Research,2019,"Tobacco Advertisement Liking, Vulnerability Factors, and Tobacco Use Among Young Adults",article,"['sex', 'sexual orientation']","Introduction Young adulthood (aged 18–24) is a crucial period in the development of long-term tobacco use patterns. Tobacco advertising and promotion lead to the initiation and continuation of smoking among young adults. We examined whether vulnerability factors moderated the association between tobacco advertisement liking and tobacco use in the United States. Methods Analyses were conducted among 9109 US young adults in the nationally representative Population Assessment of Tobacco and Health (PATH) Study wave 1 (2013–14). Participants viewed 20 randomly selected sets of tobacco advertisements (five each for cigarettes, e-cigarettes, cigars, and smokeless tobacco) and indicated whether they liked each ad. The outcome variables were past 30-day cigarette, e-cigarette, cigar, and smokeless tobacco use. Covariates included tobacco advertisement liking, age, sex, race or ethnicity, sexual orientation, education, poverty level, military service, and internalizing and externalizing mental health symptoms. Results Liking tobacco advertisements was associated with tobacco use, and this association was particularly strong among those with lower educational attainment (cigarettes, cigars) and living below the poverty level (e-cigarettes, smokeless tobacco). Conclusions The association between tobacco advertisement liking and tobacco use was stronger among young adults with lower educational attainment and those living below the poverty level. Policies that restrict advertising exposure and promote counter-marketing messages in this population could reduce their risk. Implications This study shows that liking tobacco advertisements is associated with current tobacco use among young adults, with stronger associations for vulnerable young adults (ie, lower education levels and living below the poverty level). Findings suggest a need for counter-marketing messages, policies that restrict advertising exposure, and educational interventions such as health and media literacy interventions to address the negative influences of tobacco advertisements, especially among young adults with a high school education or less and those living below the poverty level.",,http://dx.doi.org/10.1093/ntr/nty220,"Lienemann, Brianna A; Rose, Shyanika W; Unger, Jennifer B; Meissner, Helen I; Byron, M Justin; Baezconde-Garbanati, Lourdes; Huang, Li-Ling; Cruz, Tess Boley","Department of Preventive Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA Truth Initiative Schroeder Institute, Washington, DC Department of Preventive Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA Tobacco Regulatory Science Program, Office of Disease Prevention, National Institutes of Health, Bethesda, MD Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, NC Department of Preventive Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, NC Master Program in Global Health and Development, Taipei Medical University, Taipei, Taiwan Department of Preventive Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA",,,1,1,
