MajorCategory,SubCategory,NamedEntityClean,NamedEntity,FrequencyByAbstract,NewFrequency
Population Characteristics,Sexual and Gender Minority Populations,Sexual Orientation,"Sexual Orientation, Sexuality",10,10
Population Characteristics,Sexual and Gender Minority Populations,Bisexual,Bisexual,21,21
Population Characteristics,Sexual and Gender Minority Populations,Lesbian,Lesbian,19,19
Population Characteristics,Sexual and Gender Minority Populations,Gay,Gay,19,19
Population Characteristics,Sexual and Gender Minority Populations,Same-Sex Relationship,Same Sex,4,2
Population Characteristics,Sexual and Gender Minority Populations,Heterosexual/Straight,"Heterosexual, Straight",14,13
Population Characteristics,Sexual and Gender Minority Populations,Sexual Minority Populations,"Sexual Minority, LGB",8,8
Population Characteristics,Sexual and Gender Minority Populations,Queer,Queer,2,2
Population Characteristics,Sexual and Gender Minority Populations,Questioning,Question,2,2
Population Characteristics,Sexual and Gender Minority Populations,Sexual and Gender Minority Populations,"GLBT, LGBT, LGBTI, LGBTQ",10,9
Population Characteristics,Racial and Ethnic Minority Groups,African American,African American,1,1
Population Characteristics,Racial and Ethnic Minority Groups,Black People,Blacks,1,1
Population Characteristics,Racial and Ethnic Minority Groups,Asian American,Asian American,1,1
Population Characteristics,Racial and Ethnic Minority Groups,White Individuals,"White, Non-Hispanic White",3,3
Population Characteristics,Racial and Ethnic Minority Groups,Hispanic/Latino Populations,"Hispanic, Latino, Latinos",4,3
Population Characteristics,Racial and Ethnic Minority Groups,Non-Hispanic Populations,Non-Hispanic,1,1
Population Characteristics,Racial and Ethnic Minority Groups,Minority Groups,Minority,8,8
Population Characteristics,Racial and Ethnic Minority Groups,English,English,1,1
Population Characteristics,Racial and Ethnic Minority Groups,Ethnicity,"Ethnic, Ethnicity",2,2
Population Characteristics,Racial and Ethnic Minority Groups,Race/Ethnicity,"Race Ethnicity, Racial Ethnic",7,6
Population Characteristics,Socioeconomic Status,Demographics,Demographic,8,8
Population Characteristics,Socioeconomic Status,Socioeconomic Status,Socioeconomic Status,2,2
Population Characteristics,Socioeconomic Status,Low-income Populations,Low Income,2,2
Population Characteristics,Socioeconomic Status,People Living in Poverty,Poverty,2,2
Population Characteristics,Socioeconomic Status,Socioeconomically Disadvantaged Individuals,Socioeconomically Disadvantaged,1,1
Population Characteristics,Socioeconomic Status,Education Attainment,Some College,1,1
Population Characteristics,Socioeconomic Status,Marital Status,Married,1,1
Population Characteristics,Socioeconomic Status,Sociodemographic Factors,"Sociodemographic, Sociodemographic Characteristic",9,8
Geographic Locations,Countries/States/Provinces/Cities,Australia,Australia,2,2
Geographic Locations,Countries/States/Provinces/Cities,Canada,Canada,1,1
Geographic Locations,Countries/States/Provinces/Cities,Canada-Province ,Ottawa,1,1
Geographic Locations,Countries/States/Provinces/Cities,Canada-City ,Toronto,1,1
Geographic Locations,Countries/States/Provinces/Cities,New Zealand,New Zealand,1,1
Geographic Locations,Countries/States/Provinces/Cities,United Kingdom,"England, UK",2,2
Geographic Locations,Countries/States/Provinces/Cities,United States (US),"United States, U.S., U.S.3, USA",13,12
Geographic Locations,Countries/States/Provinces/Cities,US-State,"California, Missouri, Texas, Wisconsin",5,5
Geographic Locations,Countries/States/Provinces/Cities,US-City,"Chicago, Houston, Las Vegas, San Francisco",4,4
Method and Inference,Data,Behavioral Risk Factor Surveillance System (BRFSS),"Behavioral Risk Factor Surveillance System, BRFSS",3,2
Method and Inference,Data,Population Assessment of Tobacco and Health (PATH) Study,"Population Assessment of Tobacco And Health, PATH",6,3
Method and Inference,Data,National Adult Tobacco Survey (NATS),National Adult Tobacco Survey,2,2
Method and Inference,Data,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),National Epidemiologic Survey on Alcohol and Related Conditions,1,1
Method and Inference,Methodology,Baseline,"At Baseline, Baseline",5,4
Method and Inference,Methodology,Follow-Up,"At Follow-up, Follow-up",2,2
Method and Inference,Methodology,Clinical Trial,Clinical Trial,1,1
Method and Inference,Methodology,Randomization,Randomize,3,3
Method and Inference,Methodology,Experimental Research,"Treatment Group, Control Group, Randomized Controlled Trial",5,4
Method and Inference,Methodology,Data Extraction,Data Extraction,1,1
Method and Inference,Methodology,Synthesis,Synthesis,1,1
Method and Inference,Methodology,Systematic Review,"Youth.mp, Qualitative.mp, Systematic Review, PubMed",5,2
Method and Inference,Methodology,Qualitative Research,"Qualitative, Focus Groups, Comparative Analysis",3,3
Method and Inference,Methodology,Logistic Regression,Logistic Regression,10,10
Method and Inference,Methodology,Confounder,Confound,2,2
Method and Inference,Methodology,Longitudinal Study,"Longitudinal, Longitudinal Study",3,3
Method and Inference,Methodology,Nationally Representative,Nationally Representative,9,9
Method and Inference,Methodology,Survey,"Survey, Online Survey, Cross Sectional Survey, Questionnaires, Respondent",25,18
Method and Inference,Methodology,Self-Report,Self Report,5,5
Method and Inference,Methodology,Sample,Sample,10,10
Method and Inference,Statistics,Frequency/Count,"Frequency, Percent, 1000, 1092, 2050, 2210, 2384, N=10, N=19, N=3039, N=3368",12,9
Method and Inference,Statistics,Mean/Median,"Median, Averages",2,2
Method and Inference,Statistics,Probability,"Probability, The Odds of",2,2
Method and Inference,Statistics,Statistical Significance,Statistically Significant,1,1
Method and Inference,Statistics,Association,Association,8,8
Method and Inference,Statistics,Confidence Interval (CI),"95% Confidence Interval, 95% CI, CI",19,9
Method and Inference,Statistics,Odds Ratio,"Adjust Odd Ratio, AOR, Odd Ratio",10,8
Policy,Marketing,Advertisement,"Advertisement, Advertising, Tobacco Advertising",7,4
Policy,Marketing,Brand,Brand,3,3
Policy,Marketing,Denormalization,Denormalizing,1,1
Policy,Marketing,Retail Sales,Retailer,1,1
Policy,Marketing,Social Media,Social Media,1,1
Policy,Law/Policy/Regulation,Monitoring and Surveillance,Monitor,1,1
Policy,Law/Policy/Regulation,Policy/Regulation,"Policy, Regulations",3,3
Policy,Law/Policy/Regulation,Smoke-Free Air Law,Smoke-free,1,1
Policy,Law/Policy/Regulation,Restriction,Restrictions,1,1
Policy,Law/Policy/Regulation,Enforcement,Enforcement,1,1
Policy,Law/Policy/Regulation,Tobacco Control,"Tobacco Epidemic, Tobacco Control",7,6
Policy,Law/Policy/Regulation,Cessation Strategies,Cessation Strategies,1,1
Policy,Regulatory Body,US Food and Drug Administration (FDA),"FDA, Food and Drug Association",2,2
Policy,Treatment,Counseling,Counseling,2,2
Policy,Treatment,Intervention,Intervention,16,16
Policy,Treatment,Medication,Medications,1,1
Policy,Treatment,Cessation Treatment,"Smoking Cessation Treatment, Tobacco Treatment",2,2
Policy,Treatment,Nicotine Replacement Therapy,Nicotine Replacement Therapy,2,2
Policy,Treatment,Quitline,Quitlines,1,1
Tobacco Products,Combustible Tobacco Products,Cigar,Cigar,5,5
Tobacco Products,Combustible Tobacco Products,Cigarette,Cigarette,15,15
Tobacco Products,Combustible Tobacco Products,Combustible Tobacco,Combustible Tobacco,1,1
Tobacco Products,Combustible Tobacco Products,Hookah,Hookah,3,3
Tobacco Products,Combustible Tobacco Products,Tobacco Product,Tobacco Product,7,7
Tobacco Products,Non-Combustible Tobacco Products,E-cigarette,"E-Cigarette, Electronic Nicotine Delivery Systems, ENDS",9,8
Tobacco Products,Non-Combustible Tobacco Products,Smokeless Tobacco,"Smokeless, Smokeless Tobacco",5,4
Tobacco Products,Non-Combustible Tobacco Products,Snus,Snus,1,1
Relation Statement,Relation Terms,Association,"Associate with, Association Between, Association of, Factor Associate with, Predictor of, Predictor, Relate to, Relationship Between",48,23
Relation Statement,Relation Terms,Correlation,"Correlate, Correlate of",7,6
Relation Statement,Relation Terms,Comparison,"Relative to, Significantly High, Higher Than, More, More Likely to, More Than, Less, Less Likely to, Less Than, No Differences",45,26
Tobacco Characteristics,Chemical,Nicotine,Nicotine,7,7
Tobacco Characteristics,Chemical,Dose,Dose,1,1
Tobacco Characteristics,Chemical,Additive,Additive,2,2
Tobacco Characteristics,Flavor,Alcohol,Alcohol,5,5
Tobacco Characteristics,Flavor,Menthol,Menthol,1,1
Tobacco Characteristics,Flavor,Non-menthol,Non-menthol,1,1
Tobacco Characteristics,Flavor,Flavor,Flavor,1,1
