index,Conference,Year,Title,PaperType,Abstract,Highlights,Link,Highlights.1,AuthorNames,AuthorAffiliation
964,Nicotine & Tobacco Research,2015,"Cigarette Users’ Interest in Using or Switching to Electronic Nicotine Delivery Systems for Smokeless Tobacco for Harm Reduction, Cessation, or Novelty: A Cross-Sectional Survey of US Adults",article,"Introduction: We examined: (a) current (past 30-day) smokers’ interest in using or switching to electronic nicotine delivery systems (ENDS) or smokeless tobacco for various reasons; (b) correlates of interest in these products; and (c) subgroups of current smokers in relation to interest in these products. Methods: We conducted a cross-sectional survey assessing sociodemographics, tobacco use, interest in ENDS and smokeless tobacco among smokers, and knowledge about ENDS among 2,501US adults recruited through an online consumer panel. We oversampled tobacco users (36.7% current cigarette smokers), ethnic minorities, and southeastern US state residents. Results: On average, participants were more interested in ENDS than smokeless tobacco across all reasons provided. Additionally, they were less interested in either product because of their potential use in places prohibiting smoking or due to curiosity and more interested in reducing health risk or cigarette consumption or to aid in cessation. We documented high rates (27.9%) of misbeliefs about Food and Drug Administration approval of ENDS for cessation, particularly among current smokers (38.5%). Also, 27.2% of current smokers had talked with a health care provider about ENDS, with 18.0% reporting that their provider endorsed ENDS use for cessation. Furthermore, cluster analyses revealed 3 groups distinct in their interest in the products, sociodemographics, and smoking-related characteristics. Conclusions: This study highlights higher interest in ENDS versus smokeless tobacco and greater interest in both for harm reduction and cessation than due to novelty or smoking restrictions. Developing educational campaigns and informing practitioners about caveats around ENDS as cessation or harm reduction aids are critical. ",,http://dx.doi.org/10.1093/ntr/ntu103,,"Berg, Carla J.; Haardoerfer, Regine; Escoffery, Cam; Zheng, Pinpin; Kegler, Michelle","Department of Behavioral Sciences and Health Education, Emory University Rollins School of Public Health, Atlanta, GA; Department of Behavioral Sciences and Health Education, Emory University Rollins School of Public Health, Atlanta, GA; Department of Behavioral Sciences and Health Education, Emory University Rollins School of Public Health, Atlanta, GA; Department of Preventive Medicine, School of Public Health, Fudan University, Shanghai, People’s Republic of China Department of Behavioral Sciences and Health Education, Emory University Rollins School of Public Health, Atlanta, GA;"
1638,Nicotine & Tobacco Research,2017,Depressive Symptoms Predict Current E-Cigarette Use Among College Students in Texas,article,"Introduction No studies have examined the longitudinal relationship between e-cigarette use and elevated depressive symptoms among young adults. The main objective of the current study was to establish a potential bi-directional relationship between e-cigarette use and elevated depressive symptoms among college students in Texas, across a 1 year period of time. Methods A survey of 5445 college students in Texas was conducted with 6-month and 1-year follow-ups. A longitudinal cross-lagged model was used to simultaneously examine the bi-directional relationships between current, or past 30-day, e-cigarette use and elevated depressive symptoms across the three study waves. Depressive symptoms were measured using a 10-item Center for Epidemiologic Studies Depression Scale (CES-D) with a cutpoint of ≥ 10 to measure elevated depressive symptoms. Covariates included baseline age, gender, college type (2- or 4-year), and other alternative tobacco products used. Results E-cigarette use did not predict elevated depressive symptoms at 6-month and 1-year follow-ups. However, depressive symptoms predicted e-cigarette use at both 6-month and 1-year follow-ups. Conclusions The current study indicates that depressive symptoms predict subsequent e-cigarette use and not vice versa. Future studies are needed to replicate current findings and also further establish the mechanisms for causality, which could inform Food and Drug Administration regulatory planning. Implications There has been recent evidence for cross-sectional associations between e-cigarette use and elevated depressive symptoms and mental health problems. There have been no studies examining these associations using longitudinal designs. This study established a temporal relationship, such that elevated depressive symptoms predicted e-cigarette use 6 months later among college students. Future research is needed to establish the mechanisms of association as well as causality. ",,http://dx.doi.org/10.1093/ntr/ntx014,,"Bandiera, Frank C; Loukas, Alexandra; Li, Xiaoyin; Wilkinson, Anna V; Perry, Cheryl L","University of Texas School of Public Health,Houston, TX; University of Texas Southwestern Medical Center Simmons Comprehensive Cancer Center,Dallas, TX; Department of Kinesiology and Health Education, University of Texas at Austin,Austin, TX; Department of Kinesiology and Health Education, University of Texas at Austin,Austin, TX; University of Texas School of Public Health,Houston, TX; University of Texas Michael and Susan Dell Center for Healthy Living,Austin, TX University of Texas School of Public Health,Houston, TX; University of Texas Michael and Susan Dell Center for Healthy Living,Austin, TX"
2719,Tobacco Induced Diseases,2020,"Age-varying associations between e-cigarette use and peer use, household use, and exposure to e-cigarette commercials among alternative high school students in Southern California",RESEARCH PAPER,"The authors wish to thank Alan Stacy for guidance and feedback during the process of developing this manuscript. We thank Sandy Asad, Sara J. Asad, Melissa Garrido, Sarah Z. Gonzalez, Hannah Jornacion, and Brenda Lisa Lucero for their tireless efforts recruiting and tracking alternative high school students.",,http://dx.doi.org/10.18332/tid/116412,,Ndifreke Etim; James Pike; Bin Xie,"School of Community and Global Health, Claremont Graduate University, Claremont, United States"
1204,Nicotine & Tobacco Research,2016,"“Direct Dripping”: A High-Temperature, High-Formaldehyde Emission Electronic Cigarette Use Method",article,"Introduction: Electronic cigarettes (ECIGs) electrically heat and vaporize a liquid solution to produce an inhalable nicotine-containing aerosol. Normally the electrical heater is fed the liquid via an automatic wick system. Some ECIG users, however, elect to directly drip liquid onto an exposed heater coil, reportedly for greater vapor production and throat hit. Use of such “direct drip atomizers” (DDAs) may involve greater exposure to non-nicotine toxicants due to the potentially higher temperatures reached by the coil. In this study we examined nicotine and volatile aldehyde (VA) emissions from one type of DDA under various use scenarios, and measured heater temperature. Methods: Aerosols were machine-generated from an NHALER 510 Atomizer powered by an eGo-T battery (Joyetech), using a common PG-based liquid and a fixed puffing regimen. Inter-drip interval, the number of puffs drawn between replenishing the liquid on the coil, was varied from 2–4 puffs/drip. Total particulate matter, nicotine, and VA yields were quantified. Heater temperature was monitored using an infrared camera. Results: Depending on the condition, VA emissions, including formaldehyde, greatly exceeded values previously reported for conventional ECIGs and combustible cigarettes, both per puff and per unit of nicotine yield. Increasing the inter-drip interval resulted in greater VA emissions, and lower total particulate matter and nicotine yields. Maximum heater coil temperature ranged from 130°C to more than 350°C. Conclusions: Due to the higher temperatures attained, DDAs are inherently likely to produce high toxicant emissions. The diversity of ECIG use methods, including potential off-label methods, should be considered as ECIG regulatory efforts proceed. ",,http://dx.doi.org/10.1093/ntr/ntv080,,"Talih, Soha; Balhas, Zainab; Salman, Rola; Karaoghlanian, Nareg; Shihadeh, Alan",
67,Tobacco Control,2015,"An evaluation of usage patterns, effectiveness and cost of the national smoking cessation quitline in Thailand",Research Article,"Background Telephone-based smoking cessation services (quitlines) offering counselling for smoking cessation without nicotine replacement therapy may be important components of tobacco control efforts in low and middle income countries, but evaluations in such resource-limited settings are lacking. We aimed to evaluate the usage, effectiveness and cost of the Thailand National Quitline (TNQ). Methods Analysis of retrospective data for callers to the TNQ between 2009 and 2012 and a follow-up survey in 1161 randomly selected callers. Results Between 2009 and 2012 there were 116 862 callers to the TNQ; 36 927 received counselling and at least one follow-up call. Compared with smokers in the general population, callers were younger, more highly educated, more likely to be students, and more likely to smoke cigarettes rather than roll-your-own tobacco. Continuous abstinence rates at 1, 3 and 6 months after calling were 49.9%, 38.0% and 33.1%. The predicted rate at 12 months was 19.54% (95% CI 14.55 to 26.24). Average cost per completed counselling was $31 and the average cost per quitter was $253. Assuming all (and two-thirds) TNQ callers who succeed in quitting would have failed to quit without the assistance of the TNQ, cumulative life years saved (LYS) for the 4-year period were 57 238 (36 733) giving a cost per LYS of $32 (50) (about 7.93 LYS per quitter) and an estimated return on investment over 4 years of 9.01 (5.78). Conclusions A low-cost quitline without nicotine replacement therapy is a promising model for smoking cessation services and likely to offer good value for money in Thailand. ","A low-cost quitline without medication as an adjunct to treatment is a promising model for smoking cessation services in low and middle income countries, and likely to offer good value for money. Return on investment suggested that the Thailand National Quitline (TNQ) would start to become attractive as an investment even in the short run. TNQ users tended to be younger, more educated and to smoke cigarettes compared with general Thai smokers. TNQ future work should implement randomised controlled trials to test the hypothesis that a quitline service that improves callers’ confidence that they could quit would have more success. ",http://dx.doi.org/10.1136/tobaccocontrol-2013-051520,"A low-cost quitline without medication as an adjunct to treatment is a promising model for smoking cessation services in low and middle income countries, and likely to offer good value for money. Return on investment suggested that the Thailand National Quitline (TNQ) would start to become attractive as an investment even in the short run. TNQ users tended to be younger, more educated and to smoke cigarettes compared with general Thai smokers. TNQ future work should implement randomised controlled trials to test the hypothesis that a quitline service that improves callers’ confidence that they could quit would have more success. ",Aronrag Meeyai; Jintana Yunibhand; Paweena Punkrajang; Siriwan Pitayarangsarit; ,"Faculty of Public Health, Mahidol University; Tobacco Control Research and Knowledge Management Center, Mahidol University; Thailand National Quitline; Chulalongkorn University; Tobacco Control Research and Knowledge Management Center, Mahidol University; Tobacco Control Research and Knowledge Management Center, Mahidol University; Ministry of Public Health; "
2760,Tobacco Induced Diseases,2020,Exposure to secondhand smoke among school-going adolescents in Malaysia: Findings from the tobacco and e-cigarettes survey among Malaysian adolescents (TECMA),RESEARCH PAPER,The authors thank the Director General of Health Malaysia and the TECMA 2016 research team members for supporting this research.,,http://dx.doi.org/10.18332/tid/128622,,Miaw Y. J. Ling; Kuang H. Lim; Wan Shakira R. Hasani; Halizah M. Rifin; Nur Liana A. Majid; Tania G. R. Lourdes; Thamil A. Saminathan; Ying Y. Chan; Ahzairin Ahmad; Hasimah Ismail; Muhammad Fadhli M. Yusoff,"Institute for Public Health, National Institutes of Health, Shah Alam, Malaysia; Institute for Medical Research, Kuala Lumpur, Malaysia"
807,Tobacco Control,2020,Exposure to tobacco marketing in bars predicts subsequent use of multiple tobacco products among non-tobacco-using college students,Research Article,"Background Due to other marketing restrictions, one venue where tobacco companies concentrate their marketing efforts to reach young adults is bars/nightclubs. Objective This study examined the relationship between exposure to tobacco marketing in bars/nightclubs and number of alternative tobacco/nicotine products used 6 months later among college students. Methods Participants were 1,406 students aged 18–29 years old who reported going to bars or nightclubs at least rarely (M age=21.95; 67% female; 46% non-Hispanic white). Students completed an online survey in fall 2014/spring 2015 (wave 1) and again 6 months later (wave 2). Multilevel Poisson regression models were used to assess the relationship between exposure to three types of marketing at bars/nightclubs at wave 1 (tobacco/nicotine product advertisements; free samples; industry representatives) and number of tobacco products used (range=0–5) at wave 2, controlling for school type (2 year vs 4 year), age, sex, race/ethnicity and frequency of bar visits. An interaction between the number of wave 1 products and each marketing variable was tested. Results Greater exposure to free samples and tobacco industry representatives at bars/nightclubs predicted a greater number of products used 6 months later, but only among wave 1 non-tobacco users and not among tobacco users. Exposure to advertisements at bars/nightclubs did not predict the number of products used 6 months later. Conclusion Tobacco companies claim that marketing is targeted to those who already use the product, not to non-users. However, the current study indicates tobacco marketing in bars and nightclubs may encourage use among non-users and has no influence on current users. ","Adult-only venues such as bars and nightclubs remain increasingly important venues for tobacco companies to reach young adults. This study found that greater exposure to free samples and tobacco industry representatives in bars and nightclubs predicted a greater number of tobacco products used at follow-up, among wave 1 non-users, but with no effect among wave 1 users. Given that the effects of marketing were found only among non-users, this suggests that these venues may be important areas for future regulations to reduce initiation. ",http://dx.doi.org/10.1136/tobaccocontrol-2019-055195,"Adult-only venues such as bars and nightclubs remain increasingly important venues for tobacco companies to reach young adults. This study found that greater exposure to free samples and tobacco industry representatives in bars and nightclubs predicted a greater number of tobacco products used at follow-up, among wave 1 non-users, but with no effect among wave 1 users. Given that the effects of marketing were found only among non-users, this suggests that these venues may be important areas for future regulations to reduce initiation. ",Ana Laura Herrera; Keryn E Pasch; C Nathan Marti; Alexandra Loukas; Cheryl Perry; ,"Kinesiology and Health Education; University of Texas at Austin; Kinesiology and Health Education; University of Texas at Austin; Kinesiology and Health Education; University of Texas at Austin; Kinesiology and Health Education; University of Texas at Austin; Department of Health Promotion and Behavioral Sciences; University of Texas Health Science Center at Houston, School of Public Health in Austin; "
1128,Nicotine & Tobacco Research,2016,Systematic Review and Meta-analysis of the Association Between Exposure to Environmental Tobacco Smoke and Periodontitis Endpoints Among Nonsmokers,article,"Objective: A systematic review was conducted to summarize the epidemiological evidence on environmental tobacco smoke (ETS) exposure and prevalent periodontitis endpoints among nonsmokers. Methods: We searched PubMed, EMBASE, Web of Science, Pro-Quest dissertations, and conference proceedings of a dental research association. We included studies from which prevalence odds ratios (POR) could be extracted for periodontitis determined by examiner measurements of clinical attachment level (CAL) and/or probing pocket depth (PD) or self-report of missing teeth. Studies determined ETS exposure by self-report or biomarker (cotinine) levels. Results:  For studies reporting CAL and/or PD ( n = 6), associations were stronger with cotinine-measured exposure ( n = 3; random effects POR [95% prediction interval] = 1.63 (0.90, 2.96)) than self-reported exposure ( n = 3; random effects POR = 1.15 (0.68, 1.96)). There was no meaningful difference in summary estimate for studies reporting CAL and/or PD endpoint ( n = 6; random effects POR = 1.34 (0.93, 1.94)) as opposed to tooth loss ( n = 2; random effects POR = 1.33 (0.52, 3.40)).  Conclusions: There appears to be a positive association between exposure to ETS and prevalent periodontitis endpoints among nonsmokers, the magnitude of which depended mostly on the method of ETS assessment. Implications: The notoriety of ETS is often discussed in terms of its associations with cancer, chronic conditions like cardiovascular diseases, and respiratory illnesses in children. However, very little attention is paid to its association with oral diseases, especially periodontitis. Periodontitis affects a large proportion of the population and is a major cause of tooth loss. This study summarized the epidemiologic association between exposure to ETS and periodontitis among nonsmokers. Although the findings are consistent with a positive association, methodological weaknesses relating to study design, assessment of ETS, periodontitis, and adjustment covariates were highlighted and recommendations for improvement in future studies provided. ",,http://dx.doi.org/10.1093/ntr/ntw105,,"Akinkugbe, Aderonke A.; Slade, Gary D.; Divaris, Kimon; Poole, Charles","Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Department of Dental Ecology, School of Dentistry, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Department of Dental Ecology, School of Dentistry, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Department of Pediatric Dentistry, School of Dentistry, University of North Carolina at Chapel Hill , Chapel Hill, NC Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina at Chapel Hill , Chapel Hill, NC ;"
1770,Nicotine & Tobacco Research,2018,Evidence of the Impact of the truth FinishIt Campaign,article,"Introduction Over the past decade, public education mass media campaigns have been shown to be successful in changing tobacco-related attitudes, intentions, and behaviors among youth and young adults. In 2014, the national truth® campaign re-launched a new phase of the campaign targeted at a broad audience of youth and young adults, aged 15–21, to help end the tobacco epidemic. Methods The study sample for this analysis is drawn from the Truth Longitudinal Cohort (TLC), a probability-based, nationally representative cohort designed to evaluate the relationship between awareness of truth media messages and changes in targeted attitudes, beliefs, and behaviors over time. The sample for this study was limited to those with data at baseline and three subsequent follow-up surveys (n = 7536). Results Logistic regression models indicate that truth ad awareness is significantly associated with increases in targeted anti-tobacco attitudes as well as reduced intentions to smoke over time, holding constant baseline attitudes and intentions. Results also suggest a dose-response relationship in that higher levels of truth ad awareness were significantly associated with higher likelihood of reporting agreement across all five attitudinal constructs: anti-smoking imagery, anti-social smoking sentiment, anti-tobacco social movement, anti-tobacco industry sentiment, and independence. Conclusions Longitudinal results indicate a significant dose-response relationship between awareness of the new phase of the truth campaign and campaign-targeted attitudes and intentions not to smoke among youth and young adults. Implications Findings from this study confirm that a carefully designed anti-tobacco public education campaign aimed at youth and young adults is a key population-level intervention within the context of an expanding tobacco product landscape and a cluttered media environment. As tobacco use patterns shift and new products emerge, evidence-based public education campaigns can play a central role in helping the next generation to reject tobacco. Public education mass media campaigns are a key component to changing tobacco use attitudes and behavior, particularly among youth and young adults. ",,http://dx.doi.org/10.1093/ntr/ntx119,,"Vallone, Donna; Cantrell, Jennifer; Bennett, Morgane; Smith, Alexandria; Rath, Jessica M; Xiao, Haijun; Greenberg, Marisa; Hair, Elizabeth C","Evaulation Science and Research, Truth Initiative, Washington, DC, USA Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD College of Global Public Health, New York University, New York, NY, USA Evaulation Science and Research, Truth Initiative, Washington, DC, USA Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD Evaulation Science and Research, Truth Initiative, Washington, DC, USA Department of Prevention and Community Health, The George Washington University Milken Institute School of Public Health, Washington, DC, USA Evaulation Science and Research, Truth Initiative, Washington, DC, USA Evaulation Science and Research, Truth Initiative, Washington, DC, USA Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD Evaulation Science and Research, Truth Initiative, Washington, DC, USA Evaulation Science and Research, Truth Initiative, Washington, DC, USA Evaulation Science and Research, Truth Initiative, Washington, DC, USA Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD"
139,Tobacco Control,2015,Has the introduction of plain packaging with larger graphic health warnings changed adolescents’ perceptions of cigarette packs and brands?,Research Article,"Objective To examine the impact of plain packaging of cigarettes with enhanced graphic health warnings on adolescents’ perceptions of pack image and perceived brand differences. Methods Cross-sectional school-based surveys conducted in 2011 (prior to introduction of new cigarette packaging) and in 2013 (7–12 months afterwards). Students aged 12–17 years (2011 n=6338; 2013 n=5915) indicated whether they had seen a cigarette pack in previous 6 months. Students rated the character of four popular cigarette brands, indicated level of agreement regarding differences between brands in ease of smoking, quitting, addictiveness, harmfulness and look of pack; and indicated positive and negative perceptions of pack image. Changes in responses of students seeing cigarette packs in the previous 6 months (2011: 60%; 2013: 65%) were examined. Results Positive character ratings for each brand reduced significantly between 2011 and 2013. Changes were found for four of five statements reflecting brand differences. Significantly fewer students in 2013 than 2011 agreed that ‘some brands have better looking packs than others’ (2011: 43%; 2013: 25%, p<0.001), with larger decreases found among smokers (interaction p<0.001). Packs were rated less positively and more negatively in 2013 than in 2011 (p<0.001). The decrease in positive image ratings was greater among smokers. Conclusions The introduction of standardised packaging has reduced the appeal of cigarette packs. Further research could determine if continued exposure to standardised packs creates more uncertainty or disagreement regarding brand differences in ease of smoking and quitting, perceived addictiveness and harms. ","Cigarette packs are powerful communication tools with broad reach including to children and adolescents. Experimental and qualitative studies suggest that packaging cigarettes in plain or standardised packs reduces perceived attractiveness of packs and perceived quality of cigarettes and corrects misperceptions about harms among adolescents. However, no study has examined adolescents’ responses to plain packaging of cigarettes in a community where plain packaging is the norm. Seven to 12 months after the introduction of plain packaging of cigarettes with large front-of-pack graphic health warnings in Australia, this study suggests that the appeal of cigarette packs and brands to Australian adolescents had decreased significantly. ",http://dx.doi.org/10.1136/tobaccocontrol-2014-052084,"Cigarette packs are powerful communication tools with broad reach including to children and adolescents. Experimental and qualitative studies suggest that packaging cigarettes in plain or standardised packs reduces perceived attractiveness of packs and perceived quality of cigarettes and corrects misperceptions about harms among adolescents. However, no study has examined adolescents’ responses to plain packaging of cigarettes in a community where plain packaging is the norm. Seven to 12 months after the introduction of plain packaging of cigarettes with large front-of-pack graphic health warnings in Australia, this study suggests that the appeal of cigarette packs and brands to Australian adolescents had decreased significantly. ",Victoria White; Tahlia Williams; Melanie Wakefield; ,"Centre for Behavioural Research in Cancer, Cancer Council Victoria; Centre for Behavioural Research in Cancer, Cancer Council Victoria; Centre for Behavioural Research in Cancer, Cancer Council Victoria; "
1282,Nicotine & Tobacco Research,2016,Systematic Review of Smoking Cessation Interventions for Adults in Substance Abuse Treatment or Recovery,article,"Introduction: The aim was to evaluate the effectiveness of smoking cessation interventions for patients with substance use disorders. The secondary aim was to evaluate impact on substance use treatment outcomes. Methods: Randomized controlled trials involving adult smokers, recently or currently receiving inpatient or outpatient treatment for substance use disorders were reviewed. Databases, grey literature, reference lists, and journals were searched for relevant studies between 1990 and August 2014. Two authors extracted data and assessed quality. The primary outcome was biochemically verified continuous abstinence from smoking at 6 or 12 months, secondary outcomes were biochemically verified 7-day point prevalence smoking abstinence (PPA) at 6 or 12 months and substance use outcomes. Heterogeneity between studies precluded pooled analyses of the data. Results: Seventeen of 847 publications were included. Five studies reported significant effects on smoking cessation: (1) nicotine patches improved continuous abstinence at 6 months; (2) nicotine gum improved continuous abstinence at 12 months; (3) counseling, contingency management and relapse prevention improved continuous abstinence at 6 and 12 months; (4) cognitive behavioral therapy, plus nicotine replacement therapy (NRT), improved PPA at 6 months; and (5) a combination of bupropion, NRT, counseling and contingency management improved PPA at 6 months. Two studies showed some evidence of improved substance use outcomes with the remaining eight studies measuring substance use outcomes showing no difference. Conclusions: NRT, behavioral support, and combination approaches appear to increase smoking abstinence in those treated for substance use disorders. Higher quality studies are required to strengthen the evidence base. ",,http://dx.doi.org/10.1093/ntr/ntv127,,"Thurgood, Sarah L.; McNeill, Ann; Clark-Carter, David; Brose, Leonie S.","Centre for Health Psychology, Staffordshire University , Stoke-on-Trent , United Kingdom ;  Department of Addictions, UK Centre for Tobacco and Alcohol Studies (UKCTAS), Institute of Psychiatry, Psychology and Neuroscience, King’s College London , London , United Kingdom Centre for Health Psychology, Staffordshire University , Stoke-on-Trent , United Kingdom ;  Department of Addictions, UK Centre for Tobacco and Alcohol Studies (UKCTAS), Institute of Psychiatry, Psychology and Neuroscience, King’s College London , London , United Kingdom"
2077,Nicotine & Tobacco Research,2019,Widespread Belief That Organic and Additive-Free Tobacco Products are Less Harmful Than Regular Tobacco Products: Results From the 2017 US Health Information National Trends Survey,article,"Significance US smokers of Natural American Spirit, a brand marketed as “organic” and “additive-free,” are more likely than other cigarette smokers to believe that their brand might be less harmful than other brands. This article (1) describes the prevalence of belief that “organic” and “additive-free” tobacco is less harmful than regular tobacco products in the US population and (2) describes the sociodemographic characteristics of adults who believe tobacco products with these descriptors are less harmful. Methods Data were drawn from the 2017 Health Information National Trends Survey (HINTS), a nationally representative survey of US adults. Logistic regression models were used to examine correlates of the belief that “organic” or “additive-free” tobacco products are less harmful than regular tobacco products. Results Overall, 26.7% of US adults and 45.3% of adult smokers believe that “organic” tobacco products are less harmful than regular tobacco products. Similarly, 35.2% of US adults and 47.1% of smokers believe that “additive-free” tobacco products are less harmful. When examining gender, age, education, race/ethnicity, sexual orientation, and smoking status, only age (adjusted odds ratio [aOR] ~0.98, 95% confidence interval [CI]: 0.97, 0.99 for both outcomes) and smoking status (current vs. never smokers, aOR ~1.78, 95% CI 1.03, 3.07 for both outcomes) were correlates of believing that “organic” or “additive-free” tobacco is less harmful than regular tobacco products. Conclusions Belief that “organic” and “additive-free” tobacco products are less harmful than other products is widespread. Younger adults and current smokers are most likely to be misinformed by “organic” or “additive-free” tobacco product descriptors. Implications Belief that “organic” and “additive-free” tobacco products are less harmful than other products is widespread among US adults and most prevalent among smokers. Removal of terms that incorrectly imply reduced harm may correct current and future consumers’ misperceptions about the brand. ",,http://dx.doi.org/10.1093/ntr/ntz015,,"Pearson, Jennifer L; Moran, Meghan; Delnevo, Cristine D; Villanti, Andrea C; Lewis, M Jane","School of Community Health Sciences, University of Nevada, Reno, NV Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD Center for Tobacco Studies, Rutgers School of Public Health, New Brunswick, NJ Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD Department of Psychiatry, University of Vermont, Burlington, VT Center for Tobacco Studies, Rutgers School of Public Health, New Brunswick, NJ"
425,Tobacco Control,2017,Use of electronic cigarettes in smoke-free environments,Research Article,"Background Although most US states prohibit cigarette smoking in public places and worksites, fewer jurisdictions regulate indoor use of electronic cigarettes (e-cigarettes). Given the dramatic increase in e-cigarette use and concern about its impact on non-users, there is a need to examine the use of e-cigarettes in smoke-free environments and related attitudes and perceptions. Methods Recruited from a nationally representative adult panel (GfK's KnowledgePanel), 952 current users of e-cigarettes completed a cross-sectional online survey in 2014. Multivariate logistic regressions were conducted to examine the factors associated with ever using e-cigarettes in smoke-free environments. Results Overall, 59.5% of e-cigarette users had vaped where cigarette smoking was not allowed. Young adults (18–29 years) were most likely to do so, 74.2%. The places of first-time use most often mentioned were service venues (bar, restaurant, lounge and club), 30.7%, followed by worksites, 23.5%. Daily e-cigarette users were more likely to have vaped in smoke-free environments than non-daily users (OR=2.08, p=0.012). Only 2.5% of those who used e-cigarettes in smoke-free environments reported negative reactions from other people. Most e-cigarette users did not think e-cigarettes are harmful to themselves or to by-standers, and thus should not be banned where smoking is; those who had used e-cigarettes where smoking is banned were even more likely to hold these views. Conclusions E-cigarette use in smoke-free environments was common, suggesting that most e-cigarette users do not consider smoke-free laws to apply to e-cigarettes. Explicit laws should be considered if jurisdictions want to prohibit e-cigarette use in public places. ","As e-cigarette use increases, a question arises as to whether users consider smoke-free policies applicable to e-cigarettes and thus self-regulate their use in public spaces. This study examined the use of e-cigarettes in smoke-free spaces among a nationally representative sample of US e-cigarette users. This study adds the following: Most e-cigarette users in the USA do not consider smoke-free laws applicable to e-cigarettes. This was particularly true of young adults. In order to minimise non-user secondhand exposure to e-cigarette aerosol, laws need to be explicit about restrictions on e-cigarette use. ",http://dx.doi.org/10.1136/tobaccocontrol-2016-053118,"As e-cigarette use increases, a question arises as to whether users consider smoke-free policies applicable to e-cigarettes and thus self-regulate their use in public spaces. This study examined the use of e-cigarettes in smoke-free spaces among a nationally representative sample of US e-cigarette users. This study adds the following: Most e-cigarette users in the USA do not consider smoke-free laws applicable to e-cigarettes. This was particularly true of young adults. In order to minimise non-user secondhand exposure to e-cigarette aerosol, laws need to be explicit about restrictions on e-cigarette use. ",Yuyan Shi; Sharon E Cummins; Shu-Hong Zhu; ,"University of California, San Diego; University of California, San Diego; Moores UCSD Cancer Center; University of California, San Diego; Moores UCSD Cancer Center; "
1477,Nicotine & Tobacco Research,2017,"Analysis of State-Specific Prevalence, Regional Differences, and Correlates of Hookah Use in U.S. Adults, 2012–2013",article,"Objective To investigate the state-specific prevalence, regional differences, and correlates of hookah use among U.S. adults. Methods We analyzed the most recent nationally representative data of adults from the National Adult Tobacco Survey (NATS) 2012–2013 (n = 60192). State-specific prevalence of lifetime and current hookah use was calculated and mapped. Multivariate logistic regression was performed to determine the association between sociodemographic characteristics, regional differences, and hookah use. Results Among U.S. adults (≥18 years), overall prevalence of lifetime hookah use was 12.3%, while current use was 3.9%. Mapping of state-specific prevalence revealed that the West tended to have higher rates of use, while the South tended to have lower ones. In the adjusted model, we observed that current hookah use was positively associated with younger adults, males, non-Hispanic adults, those with higher education and income statuses, being single, those living in the West, and current cigarette use. Conclusion The prevalence of hookah use varies by state, region, and sociodemographic characteristics among adults. Future research, including longitudinal studies, are needed to identify geographic and sociodemographic characteristics and trends among hookah users, investigate hookah-related health outcomes, and evaluate targeted public health efforts aimed at this emerging threat. Implications This study investigates state-level prevalence, regional differences, and sociodemographic characteristics of hookah use among U.S. adults, using the most recent NATS. Hookah use was positively associated with younger adults and those living in the West. This study adds to the understanding of the geographic and sociodemographic factors underlying hookah use, which can be used to develop much needed evidence-based regulations and programs that are responsive to the needs of different risk groups. ",,http://dx.doi.org/10.1093/ntr/ntw229,,"Park, Su Hyun; Duncan, Dustin T; Shahawy, Omar El; Shearston, Jenni A; Lee, Lily; Tamura, Kosuke; Sherman, Scott E; Weitzman, Michael","Department of Pediatrics, New York University School of Medicine, New York, NY; Department of Population Health, New York University School of Medicine, New York, NY; College of Global Public Health, New York University, New York, NY; Department of Population Health, New York University School of Medicine, New York, NY; New York University in Abu Dhabi, Public Health Research Center, Abu Dhabi, UAE; Department of Population Health, New York University School of Medicine, New York, NY; College of Global Public Health, New York University, New York, NY; New York University in Abu Dhabi, Public Health Research Center, Abu Dhabi, UAE; Department of Pediatrics, New York University School of Medicine, New York, NY; Brooklyn College, New York, NY; Department of Population Health, New York University School of Medicine, New York, NY; Department of Population Health, New York University School of Medicine, New York, NY; College of Global Public Health, New York University, New York, NY; New York University in Abu Dhabi, Public Health Research Center, Abu Dhabi, UAE; Department of Pediatrics, New York University School of Medicine, New York, NY; College of Global Public Health, New York University, New York, NY; New York University in Abu Dhabi, Public Health Research Center, Abu Dhabi, UAE; Department of Environmental Medicine, New York University, New York, NY"
