idx,Year,Location,Country,Global,paperIdx,tableIdx,Race/Ethnicity,RaceGroup,RaceSubGroup,total,unit,type,value,proportion,tableLink,paperLink,"Coder1 (0-weighted, 1=unweighted) ",Coder 1 notes,"Coder2 (0-weighted, 1=unweighted) ",Unnamed: 20
11,2015,South Africa,Other,Foreign,5,1,Black or African American;,Black or African American,,22,%,2007,18.7,18.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
12,2015,South Africa,Other,Foreign,5,1,Black or African American;,Black or African American,,22,%,2011,17.1,17.1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
13,2015,South Africa,Other,Foreign,5,1,White;,White,,100,%,all respondents,12.8,12.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
14,2015,South Africa,Other,Foreign,5,1,White;,White,,25,%,2003,26,26,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
15,2015,South Africa,Other,Foreign,5,1,White;,White,,22,%,2007,28.1,28.1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
16,2015,South Africa,Other,Foreign,5,1,White;,White,,22,%,2011,28.2,28.2,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
17,2015,South Africa,Other,Foreign,5,1,American Indian and Alaska Native;,American Indian and Alaska Native,,100,%,all respondents,3.1,3.1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
18,2015,South Africa,Other,Foreign,5,1,American Indian and Alaska Native;,American Indian and Alaska Native,,25,%,2003,28.8,28.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
19,2015,South Africa,Other,Foreign,5,1,American Indian and Alaska Native;,American Indian and Alaska Native,,22,%,2007,23.8,23.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
20,2015,South Africa,Other,Foreign,5,1,American Indian and Alaska Native;,American Indian and Alaska Native,,22,%,2011,32.1,32.1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
4,2015,New Zealand,New Zealand,Foreign,6,1,White; European,White,European,32841,%,year 2006,62,62,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
5,2015,New Zealand,New Zealand,Foreign,6,1,White; European,White,European,25978,%,year 2007,63,63,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
6,2015,New Zealand,New Zealand,Foreign,6,1,White; European,White,European,30872,%,year 2008,59,59,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
7,2015,New Zealand,New Zealand,Foreign,6,1,White; European,White,European,25762,%,year 2009,61,61,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
8,2015,New Zealand,New Zealand,Foreign,6,1,White; European,White,European,32605,%,year 2010,58,58,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
9,2015,New Zealand,New Zealand,Foreign,6,1,White; European,White,European,26645,%,year 2011,59,59,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
10,2015,New Zealand,New Zealand,Foreign,6,1,White; European,White,European,28447,%,year 2012,57,57,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
11,2015,New Zealand,New Zealand,Foreign,6,1,Maori;,Native Hawaiian or other Pacific Islander,,32841,%,year 2006,20,20,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
12,2015,New Zealand,New Zealand,Foreign,6,1,Maori;,Native Hawaiian or other Pacific Islander,,25978,%,year 2007,19,19,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
13,2015,New Zealand,New Zealand,Foreign,6,1,Maori;,Native Hawaiian or other Pacific Islander,,30872,%,year 2008,19,19,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
14,2015,New Zealand,New Zealand,Foreign,6,1,Maori;,Native Hawaiian or other Pacific Islander,,25762,%,year 2009,18,18,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
15,2015,New Zealand,New Zealand,Foreign,6,1,Maori;,Native Hawaiian or other Pacific Islander,,32605,%,year 2010,20,20,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
16,2015,New Zealand,New Zealand,Foreign,6,1,Maori;,Native Hawaiian or other Pacific Islander,,26645,%,year 2011,20,20,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
17,2015,New Zealand,New Zealand,Foreign,6,1,Maori;,Native Hawaiian or other Pacific Islander,,28447,%,year 2012,20,20,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
18,2015,New Zealand,New Zealand,Foreign,6,1,Pacific;,Pacific,,32841,%,year 2006,7,7,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
19,2015,New Zealand,New Zealand,Foreign,6,1,Pacific;,Pacific,,25978,%,year 2007,7,7,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
20,2015,New Zealand,New Zealand,Foreign,6,1,Pacific;,Pacific,,30872,%,year 2008,10,10,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
21,2015,New Zealand,New Zealand,Foreign,6,1,Pacific;,Pacific,,25762,%,year 2009,9,9,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
22,2015,New Zealand,New Zealand,Foreign,6,1,Pacific;,Pacific,,32605,%,year 2010,10,10,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
23,2015,New Zealand,New Zealand,Foreign,6,1,Pacific;,Pacific,,26645,%,year 2011,9,9,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
24,2015,New Zealand,New Zealand,Foreign,6,1,Pacific;,Native Hawaiian or other Pacific Islander,,28447,%,year 2012,9,9,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
25,2015,New Zealand,New Zealand,Foreign,6,1,Asian;,Asian,,32841,%,year 2006,10,10,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
26,2015,New Zealand,New Zealand,Foreign,6,1,Asian;,Asian,,25978,%,year 2007,10,10,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
27,2015,New Zealand,New Zealand,Foreign,6,1,Asian;,Asian,,30872,%,year 2008,11,11,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
28,2015,New Zealand,New Zealand,Foreign,6,1,Asian;,Asian,,25762,%,year 2009,11,11,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
29,2015,New Zealand,New Zealand,Foreign,6,1,Asian;,Asian,,32605,%,year 2010,11,11,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
30,2015,New Zealand,New Zealand,Foreign,6,1,Asian;,Asian,,26645,%,year 2011,11,11,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
31,2015,New Zealand,New Zealand,Foreign,6,1,Asian;,Asian,,28447,%,year 2012,12,12,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
32,2015,New Zealand,New Zealand,Foreign,6,1,Others;,Others,,32841,%,year 2006,1,1,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
33,2015,New Zealand,New Zealand,Foreign,6,1,Others;,Others,,25978,%,year 2007,1,1,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
34,2015,New Zealand,New Zealand,Foreign,6,1,Others;,Others,,30872,%,year 2008,1,1,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
35,2015,New Zealand,New Zealand,Foreign,6,1,Others;,Others,,25762,%,year 2009,1,1,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
36,2015,New Zealand,New Zealand,Foreign,6,1,Others;,Others,,32605,%,year 2010,1,1,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
37,2015,New Zealand,New Zealand,Foreign,6,1,Others;,Others,,26645,%,year 2011,1,1,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
38,2015,New Zealand,New Zealand,Foreign,6,1,Others;,Others,,28447,%,year 2012,2,2,https://tobaccocontrol.bmj.com/highwire/markup/145033/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051124,1,"annual surveys of over 25,000 year 10 school students (14–15 year olds) for a 7-year period (2006–2012)",,
21,2015,USA (assumed),USA,USA,8,1,Black or African American;,Black or African American,,1742,%,Total,2.98,2.98,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
22,2015,USA (assumed),USA,USA,8,1,Black or African American;,Black or African American,,478,%,Self-identified and behavioral,3.35,3.35,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
23,2015,USA (assumed),USA,USA,8,1,Black or African American;,Black or African American,,797,%,Self-identified and not behavioral,2.51,2.51,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
24,2015,USA (assumed),USA,USA,8,1,Black or African American;,Black or African American,,467,%,Not social smokers,3,3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
25,2015,USA (assumed),USA,USA,8,1,Asian; Native Hawaiian and Other Pacific Islander;,Multiracial,,1742,%,Total,3.64,3.64,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
26,2015,USA (assumed),USA,USA,8,1,Asian; Native Hawaiian and Other Pacific Islander;,Multiracial,,478,%,Self-identified and behavioral,3.14,3.14,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
27,2015,USA (assumed),USA,USA,8,1,Asian; Native Hawaiian and Other Pacific Islander;,Multiracial,,797,%,Self-identified and not behavioral,4.02,4.02,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
28,2015,USA (assumed),USA,USA,8,1,Asian; Native Hawaiian and Other Pacific Islander;,Multiracial,,467,%,Not social smokers,3.21,3.21,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
29,2015,USA (assumed),USA,USA,8,1,White;,White,,1742,%,Total,71.34,71.34,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
30,2015,USA (assumed),USA,USA,8,1,White;,White,,478,%,Self-identified and behavioral,70.71,70.71,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
31,2015,USA (assumed),USA,USA,8,1,White;,White,,797,%,Self-identified and not behavioral,70.64,70.64,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
32,2015,USA (assumed),USA,USA,8,1,White;,White,,467,%,Not social smokers,74.09,74.09,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
33,2015,USA (assumed),USA,USA,8,1,; Hispanic,Hispanic,,1742,%,Total,6.29,6.29,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
34,2015,USA (assumed),USA,USA,8,1,; Hispanic,Hispanic,,478,%,Self-identified and behavioral,7.53,7.53,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
35,2015,USA (assumed),USA,USA,8,1,; Hispanic,Hispanic,,797,%,Self-identified and not behavioral,6.15,6.15,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
36,2015,USA (assumed),USA,USA,8,1,; Hispanic,Hispanic,,467,%,Not social smokers,5.14,5.14,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,http://dx.doi.org/10.1093/ntr/ntu242,,,,
